A,Y15-64,T,HR,EL64	41.5 	43.4 b
A,Y15-64,T,HR,EL65	41.4 	43.6 b
A,Y15-64,T,HR,ES11	37.8 	36.9 bd
A,Y15-64,T,HR,ES12	37.4 	37.0 bd
A,Y15-64,T,HR,ES13	36.7 	36.2 bd
A,Y15-64,T,HR,ES21	35.2 	35.0 bd
A,Y15-64,T,HR,ES22	35.8 	35.1 bd
A,Y15-64,T,HR,ES23	36.9 	35.7 bd
A,Y15-64,T,HR,ES24	37.3 	36.2 bd
A,Y15-64,T,HR,ES30	37.3 	36.3 bd
A,Y15-64,T,HR,ES41	37.2 	36.3 bd
A,Y15-64,T,HR,ES42	38.0 	36.7 bd
A,Y15-64,T,HR,ES43	36.2 	36.2 bd
A,Y15-64,T,HR,ES51	36.6 	36.0 bd
A,Y15-64,T,HR,ES52	36.3 	36.0 bd
A,Y15-64,T,HR,ES53	37.1 	36.0 bd
A,Y15-64,T,HR,ES61	36.4 	36.0 bd
A,Y15-64,T,HR,ES62	37.3 	36.1 bd
A,Y15-64,T,HR,ES63	35.3 	36.5 bd
A,Y15-64,T,HR,ES64	37.2 	36.1 bd
A,Y15-64,T,HR,ES70	36.9 	36.2 bd
A,Y15-64,T,HR,FI19	36.1 	34.9 b
A,Y15-64,T,HR,FI1B	35.9 	34.5 b
A,Y15-64,T,HR,FI1C	36.4 	35.2 b
A,Y15-64,T,HR,FI1D	35.7 	35.4 b
A,Y15-64,T,HR,FI20	36.3 	35.9 b
A,Y15-64,T,HR,FR10	36.7 	36.4 bd
A,Y15-64,T,HR,FRB0	36.3 	35.9 bd
A,Y15-64,T,HR,FRC1	35.8 	35.7 bd
A,Y15-64,T,HR,FRC2	37.0 	36.8 bd
A,Y15-64,T,HR,FRD1	36.7 	36.5 bd
A,Y15-64,T,HR,FRD2	35.8 	36.3 bd
A,Y15-64,T,HR,FRE1	35.0 	35.6 bd
A,Y15-64,T,HR,FRE2	35.9 	35.7 bd
