freq,unit,geo\TIME_PERIOD	2017 	2021 
A,PC_EMP,HR06	2.6 u	2.5 bu
A,PC_EMP,HU11	7.3 	7.8 b
A,PC_EMP,HU12	3.1 	3.6 b
A,PC_EMP,HU21	2.1 	2.4 b
A,PC_EMP,HU22	2.5 	2.8 b
A,PC_EMP,HU23	1.9 	2.1 b
A,PC_EMP,HU31	2.5 	2.4 b
A,PC_EMP,HU32	2.0 	2.0 b
A,PC_EMP,HU33	2.5 	2.6 b
A,PC_EMP,IE04	2.4 b	2.3 b
A,PC_EMP,IE05	2.7 b	2.5 b
A,PC_EMP,IE06	4.4 b	3.7 b
A,PC_EMP,IS00	5.9 	5.8 b
A,PC_EMP,ITC1	4.0 b	3.5 b
A,PC_EMP,ITC2	3.4 bu	2.9 bu
A,PC_EMP,ITC3	3.2 b	2.7 b
A,PC_EMP,ITC4	4.1 b	4.0 b
A,PC_EMP,ITF1	2.6 b	2.5 b
A,PC_EMP,ITF2	2.5 b	2.2 bu
A,PC_EMP,ITF3	2.7 b	2.6 b
A,PC_EMP,ITF4	2.3 b	1.8 b
A,PC_EMP,ITF5	2.3 b	2.9 b
A,PC_EMP,ITF6	2.3 b	1.6 b
A,PC_EMP,ITG1	2.4 b	2.5 b
A,PC_EMP,ITG2	2.5 b	2.3 b
A,PC_EMP,ITH1	2.9 b	3.2 b
A,PC_EMP,ITH2	4.4 b	4.3 b
A,PC_EMP,ITH3	3.5 b	3.9 b
A,PC_EMP,ITH4	2.9 b	3.3 b
A,PC_EMP,ITH5	3.5 b	3.0 b
A,PC_EMP,ITI1	4.5 b	4.2 b
A,PC_EMP,ITI2	4.3 b	3.5 b
A,PC_EMP,ITI3	3.8 b	3.5 b
A,PC_EMP,ITI4	4.7 b	4.7 b
A,PC_EMP,LT01	4.7 	5.3 b
A,PC_EMP,LT02	3.2 	3.3 b
A,PC_EMP,LU00	4.6 	4.3 b
A,PC_EMP,LV00	4.1 	4.2 b
A,PC_EMP,ME00	3.6 	: 
A,PC_EMP,MK00	3.2 	: 
A,PC_EMP,MT00	4.8 	4.4 b
A,PC_EMP,NL11	3.4 	4.2 b
A,PC_EMP,NL12	3.3 	2.9 b
A,PC_EMP,NL13	2.6 	3.1 b
A,PC_EMP,NL21	3.2 	3.4 b
A,PC_EMP,NL22	3.8 	5.3 b
A,PC_EMP,NL23	3.5 	3.8 b
A,PC_EMP,NL31	5.7 	5.6 b
A,PC_EMP,NL32	7.4 	8.5 b
A,PC_EMP,NL33	4.5 	4.9 b
A,PC_EMP,NL34	3.3 	4.4 b
A,PC_EMP,NL41	3.9 	3.9 b
A,PC_EMP,NL42	3.0 	3.4 b
A,PC_EMP,NO02	: u	3.4 bu
A,PC_EMP,NO06	2.8 u	3.7 bu
A,PC_EMP,NO07	2.9 u	2.9 bu
A,PC_EMP,NO08	5.5 	5.3 b
A,PC_EMP,NO09	3.3 	4.0 b
A,PC_EMP,NO0A	3.0 	2.9 b
A,PC_EMP,PT11	2.8 	2.8 b
A,PC_EMP,PT15	2.3 	3.4 bu
A,PC_EMP,PT16	2.0 	3.4 b
A,PC_EMP,PT17	5.1 	6.4 b
A,PC_EMP,PT18	1.8 	2.4 bu
A,PC_EMP,PT20	: u	: bu
A,PC_EMP,PT30	: u	: bu
A,PC_EMP,RO11	1.7 	1.3 b
A,PC_EMP,RO12	3.0 	2.0 b
A,PC_EMP,RO21	0.8 	0.8 bu
A,PC_EMP,RO22	1.0 u	: bu
A,PC_EMP,RO31	0.9 	: bu
A,PC_EMP,RO32	3.8 	3.6 b
A,PC_EMP,RO41	: u	1.0 bu
A,PC_EMP,RO42	1.3 u	1.4 bu
A,PC_EMP,RS11	6.0 	6.4 b
A,PC_EMP,RS12	3.1 	2.8 b
A,PC_EMP,RS21	1.7 	1.6 b
A,PC_EMP,RS22	1.6 	1.8 b
A,PC_EMP,SE11	7.7 	6.8 b
A,PC_EMP,SE12	3.8 	3.9 b
A,PC_EMP,SE21	3.6 	3.1 b
A,PC_EMP,SE22	4.9 	4.5 b
A,PC_EMP,SE23	4.0 	3.9 b
A,PC_EMP,SE31	3.5 	3.5 b
A,PC_EMP,SE32	2.8 	2.3 bu
A,PC_EMP,SE33	3.4 	2.9 b
A,PC_EMP,SI03	3.6 	3.4 b
A,PC_EMP,SI04	6.0 	6.1 b
A,PC_EMP,SK01	7.3 	5.8 b
A,PC_EMP,SK02	2.0 	2.2 b
A,PC_EMP,SK03	2.6 	3.1 b
A,PC_EMP,SK04	2.0 	2.2 b
A,PC_EMP,TR10	3.7 	: 
A,PC_EMP,TR21	3.0 	: 
A,PC_EMP,TR22	1.2 	: 
A,PC_EMP,TR31	2.0 	: 
A,PC_EMP,TR32	1.5 	: 
A,PC_EMP,TR33	1.3 	: 
A,PC_EMP,TR41	2.6 	: 
A,PC_EMP,TR42	2.1 	: 
A,PC_EMP,TR51	3.3 	: 
A,PC_EMP,TR52	2.9 	: 
A,PC_EMP,TR61	1.8 	: 
A,PC_EMP,TR62	2.1 	: 
A,PC_EMP,TR63	1.9 	: 
A,PC_EMP,TR71	1.5 	: 
A,PC_EMP,TR72	1.6 	: 
A,PC_EMP,TR81	1.8 	: 
A,PC_EMP,TR82	2.3 	: 
A,PC_EMP,TR83	1.4 	: 
A,PC_EMP,TR90	0.9 	: 
A,PC_EMP,TRA1	2.1 	: 
A,PC_EMP,TRA2	0.7 u	: 
A,PC_EMP,TRB1	1.8 	: 
A,PC_EMP,TRB2	0.6 	: 
A,PC_EMP,TRC1	2.9 	: 
A,PC_EMP,TRC2	1.4 	: 
A,PC_EMP,TRC3	0.4 u	: 
A,PC_EMP,UKC1	3.7 	: 
A,PC_EMP,UKC2	4.1 	: 
