freq,vehicle,unit,geo\TIME_PERIOD	2017 	2021 
A,TOT_X_TM,NR,AL	: 	627282 
A,TOT_X_TM,NR,AL0	: 	627282 
A,TOT_X_TM,NR,AL01	: 	194388 
A,TOT_X_TM,NR,AL02	: 	261802 
A,TOT_X_TM,NR,AL03	: 	171092 
A,TOT_X_TM,NR,AT	5430588 	5768169 
A,TOT_X_TM,NR,AT1	2176547 	2301226 
A,TOT_X_TM,NR,AT11	215136 	229640 
A,TOT_X_TM,NR,AT12	1185677 	1259688 
A,TOT_X_TM,NR,AT13	775734 	811898 
A,TOT_X_TM,NR,AT2	1213137 	1288148 
A,TOT_X_TM,NR,AT21	389231 	412753 
A,TOT_X_TM,NR,AT22	823906 	875395 
A,TOT_X_TM,NR,AT3	2040904 	2178795 
A,TOT_X_TM,NR,AT31	1013606 	1085347 
A,TOT_X_TM,NR,AT32	344902 	366057 
A,TOT_X_TM,NR,AT33	450655 	481666 
A,TOT_X_TM,NR,AT34	231741 	245725 
A,TOT_X_TM,NR,BA	: 	1093823 
A,TOT_X_TM,NR,BE	6736850 	7012523 
A,TOT_X_TM,NR,BE1	571565 	584473 
A,TOT_X_TM,NR,BE10	571565 	584473 
A,TOT_X_TM,NR,BE2	4090426 	4274027 
A,TOT_X_TM,NR,BE21	1081072 	1108748 
A,TOT_X_TM,NR,BE22	558633 	585231 
A,TOT_X_TM,NR,BE23	861596 	895482 
A,TOT_X_TM,NR,BE24	840840 	901159 
A,TOT_X_TM,NR,BE25	748285 	783407 
A,TOT_X_TM,NR,BE3	2074859 	2154023 
A,TOT_X_TM,NR,BE31	253153 	246862 
A,TOT_X_TM,NR,BE32	745258 	775788 
A,TOT_X_TM,NR,BE33	616237 	643301 
A,TOT_X_TM,NR,BE34	172105 	183084 
A,TOT_X_TM,NR,BE35	288106 	304988 
A,TOT_X_TM,NR,BG	3249375 	3347506 
A,TOT_X_TM,NR,BG3	1544364 	1549380 
A,TOT_X_TM,NR,BG31	331494 	326243 
A,TOT_X_TM,NR,BG32	372585 	360413 
A,TOT_X_TM,NR,BG33	412349 	412531 
A,TOT_X_TM,NR,BG34	427936 	450193 
A,TOT_X_TM,NR,BG4	1705011 	1798126 
A,TOT_X_TM,NR,BG41	1113232 	1160989 
A,TOT_X_TM,NR,BG42	591779 	637137 
A,TOT_X_TM,NR,CH	5060580 	5273656 
A,TOT_X_TM,NR,CH0	5060580 	5273656 
A,TOT_X_TM,NR,CH01	937582 	966124 
A,TOT_X_TM,NR,CH02	1127323 	1178674 
A,TOT_X_TM,NR,CH03	669106 	701724 
A,TOT_X_TM,NR,CH04	809414 	834084 
A,TOT_X_TM,NR,CH05	749178 	789613 
A,TOT_X_TM,NR,CH06	517355 	552898 
A,TOT_X_TM,NR,CH07	250622 	250539 
A,TOT_X_TM,NR,CY	640661 	716762 
A,TOT_X_TM,NR,CY0	640661 	716762 
A,TOT_X_TM,NR,CY00	640661 	716762 
A,TOT_X_TM,NR,CZ	6284547 	6873270 
A,TOT_X_TM,NR,CZ0	6284547 	6873270 
A,TOT_X_TM,NR,CZ01	1015313 	1084921 
A,TOT_X_TM,NR,CZ02	825225 	919001 
A,TOT_X_TM,NR,CZ03	771314 	846447 
A,TOT_X_TM,NR,CZ04	619520 	676321 
A,TOT_X_TM,NR,CZ05	873443 	957386 
A,TOT_X_TM,NR,CZ06	951826 	1045996 
A,TOT_X_TM,NR,CZ07	631477 	694054 
A,TOT_X_TM,NR,CZ08	596429 	649144 
A,TOT_X_TM,NR,DE	49285424 b	52727342 
A,TOT_X_TM,NR,DE1	6818734 b	7358000 
A,TOT_X_TM,NR,DE11	2595280 b	2773416 
A,TOT_X_TM,NR,DE12	1675985 b	1793352 
A,TOT_X_TM,NR,DE13	1370484 b	1480179 
A,TOT_X_TM,NR,DE14	1176985 b	1281053 
A,TOT_X_TM,NR,DE2	8230569 b	8888976 
A,TOT_X_TM,NR,DE21	2844712 b	3059406 
A,TOT_X_TM,NR,DE22	817797 b	902327 
A,TOT_X_TM,NR,DE23	733528 b	796971 
A,TOT_X_TM,NR,DE24	709871 b	755848 
A,TOT_X_TM,NR,DE25	1060041 b	1135187 
A,TOT_X_TM,NR,DE26	878488 b	938321 
A,TOT_X_TM,NR,DE27	1186132 b	1300916 
A,TOT_X_TM,NR,DE3	1302772 b	1372155 
A,TOT_X_TM,NR,DE30	1302772 b	1372155 
A,TOT_X_TM,NR,DE4	1539262 b	1646299 
A,TOT_X_TM,NR,DE40	1539262 b	1646299 
A,TOT_X_TM,NR,DE5	312160 b	323669 
A,TOT_X_TM,NR,DE50	312160 b	323669 
A,TOT_X_TM,NR,DE6	835670 b	894659 
A,TOT_X_TM,NR,DE60	835670 b	894659 
A,TOT_X_TM,NR,DE7	3839146 b	4110835 
A,TOT_X_TM,NR,DE71	2415674 b	2586891 
A,TOT_X_TM,NR,DE72	658332 b	704100 
A,TOT_X_TM,NR,DE73	765140 b	819844 
A,TOT_X_TM,NR,DE8	935097 b	990161 
A,TOT_X_TM,NR,DE80	935097 b	990161 
A,TOT_X_TM,NR,DE9	4945482 b	5323360 
A,TOT_X_TM,NR,DE91	1030867 b	1080998 
A,TOT_X_TM,NR,DE92	1239769 b	1324598 
A,TOT_X_TM,NR,DE93	1106598 b	1200070 
A,TOT_X_TM,NR,DE94	1568248 b	1717694 
A,TOT_X_TM,NR,DEA	10513888 b	11282076 
A,TOT_X_TM,NR,DEA1	2949925 b	3143990 
A,TOT_X_TM,NR,DEA2	2637869 b	2821741 
A,TOT_X_TM,NR,DEA3	1531136 b	1659124 
A,TOT_X_TM,NR,DEA4	1282951 b	1383816 
A,TOT_X_TM,NR,DEA5	2112007 b	2273405 
