freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,PAID,D5,FI1B	13317.39 
A,MIO_EUR,PAID,D5,FI1C	6435.19 
A,MIO_EUR,PAID,D5,FI1D	6565.4 
A,MIO_EUR,PAID,D5,FI20	194.24 
A,MIO_EUR,PAID,D5,FR10	71915 p
A,MIO_EUR,PAID,D5,FRB0	8093.1 p
A,MIO_EUR,PAID,D5,FRC1	4836.1 p
A,MIO_EUR,PAID,D5,FRC2	3961.4 p
A,MIO_EUR,PAID,D5,FRD1	4437.8 p
A,MIO_EUR,PAID,D5,FRD2	5782.7 p
A,MIO_EUR,PAID,D5,FRE1	12072.6 p
A,MIO_EUR,PAID,D5,FRE2	5693.5 p
A,MIO_EUR,PAID,D5,FRF1	7099.4 p
A,MIO_EUR,PAID,D5,FRF2	4171.4 p
A,MIO_EUR,PAID,D5,FRF3	6981.6 p
A,MIO_EUR,PAID,D5,FRG0	12104.5 p
A,MIO_EUR,PAID,D5,FRH0	10520 p
A,MIO_EUR,PAID,D5,FRI1	11688.6 p
A,MIO_EUR,PAID,D5,FRI2	2210.7 p
A,MIO_EUR,PAID,D5,FRI3	5564.3 p
A,MIO_EUR,PAID,D5,FRJ1	8526.8 p
A,MIO_EUR,PAID,D5,FRJ2	10319.1 p
A,MIO_EUR,PAID,D5,FRK1	4226.3 p
A,MIO_EUR,PAID,D5,FRK2	24735.5 p
A,MIO_EUR,PAID,D5,FRL0	19815.5 p
A,MIO_EUR,PAID,D5,FRM0	1106.9 p
A,MIO_EUR,PAID,D5,FRY1	480.8 p
A,MIO_EUR,PAID,D5,FRY2	467.2 p
A,MIO_EUR,PAID,D5,FRY3	207.7 p
A,MIO_EUR,PAID,D5,FRY4	1350.8 p
A,MIO_EUR,PAID,D5,FRY5	47.1 p
A,MIO_EUR,PAID,D5,HR02	338.88 
A,MIO_EUR,PAID,D5,HR03	607.6 
A,MIO_EUR,PAID,D5,HR05	973.51 
A,MIO_EUR,PAID,D5,HR06	396.04 
A,MIO_EUR,PAID,D5,HU11	1720.67 
A,MIO_EUR,PAID,D5,HU12	1063.73 
A,MIO_EUR,PAID,D5,HU21	799.2 
A,MIO_EUR,PAID,D5,HU22	668.62 
A,MIO_EUR,PAID,D5,HU23	508.44 
A,MIO_EUR,PAID,D5,HU31	654.39 
A,MIO_EUR,PAID,D5,HU32	821.97 
A,MIO_EUR,PAID,D5,HU33	761.37 
A,MIO_EUR,PAID,D5,HUZZ	0 
A,MIO_EUR,PAID,D5,IE04	3735.81 
A,MIO_EUR,PAID,D5,IE05	8441.36 
A,MIO_EUR,PAID,D5,IE06	18166.1 
A,MIO_EUR,PAID,D5,ITC1	20256.2 
A,MIO_EUR,PAID,D5,ITC2	528.9 
A,MIO_EUR,PAID,D5,ITC3	6903.3 
A,MIO_EUR,PAID,D5,ITC4	53247.4 
A,MIO_EUR,PAID,D5,ITF1	3967.1 
A,MIO_EUR,PAID,D5,ITF2	799.9 
A,MIO_EUR,PAID,D5,ITF3	13478.6 
A,MIO_EUR,PAID,D5,ITF4	9732.3 
A,MIO_EUR,PAID,D5,ITF5	1375.3 
A,MIO_EUR,PAID,D5,ITF6	4009.8 
A,MIO_EUR,PAID,D5,ITG1	10716.4 
A,MIO_EUR,PAID,D5,ITG2	4301.7 
A,MIO_EUR,PAID,D5,ITH1	2539.9 
A,MIO_EUR,PAID,D5,ITH2	2545.6 
A,MIO_EUR,PAID,D5,ITH3	20773.8 
A,MIO_EUR,PAID,D5,ITH4	5257.6 
A,MIO_EUR,PAID,D5,ITH5	21806.4 
A,MIO_EUR,PAID,D5,ITI1	15109.5 
A,MIO_EUR,PAID,D5,ITI2	3083.1 
A,MIO_EUR,PAID,D5,ITI3	5534.2 
A,MIO_EUR,PAID,D5,ITI4	25162.1 
A,MIO_EUR,PAID,D5,ITZZ	0 
A,MIO_EUR,PAID,D5,LT01	1750.51 
A,MIO_EUR,PAID,D5,LT02	2513.65 
A,MIO_EUR,PAID,D5,LU00	5930.4 
A,MIO_EUR,PAID,D5,LV00	2078.16 
A,MIO_EUR,PAID,D5,NL11	1956 p
A,MIO_EUR,PAID,D5,NL12	2071 p
A,MIO_EUR,PAID,D5,NL13	1777 p
A,MIO_EUR,PAID,D5,NL21	4152 p
A,MIO_EUR,PAID,D5,NL22	8572 p
A,MIO_EUR,PAID,D5,NL23	1608 p
A,MIO_EUR,PAID,D5,NL31	7643 p
A,MIO_EUR,PAID,D5,NL32	17314 p
A,MIO_EUR,PAID,D5,NL33	17796 p
A,MIO_EUR,PAID,D5,NL34	1496 p
A,MIO_EUR,PAID,D5,NL41	11582 p
