freq,na_item,unit,geo\TIME_PERIOD	2021 
A,RLPR_PER,I15,FRJ1	98.5 p
A,RLPR_PER,I15,FRJ2	95.9 p
A,RLPR_PER,I15,FRK1	102.3 p
A,RLPR_PER,I15,FRK2	98.2 p
A,RLPR_PER,I15,FRL0	105.1 p
A,RLPR_PER,I15,FRM0	96.9 p
A,RLPR_PER,I15,FRY1	101.4 p
A,RLPR_PER,I15,FRY2	100.7 p
A,RLPR_PER,I15,FRY3	77.5 p
A,RLPR_PER,I15,FRY4	107.8 p
A,RLPR_PER,I15,FRY5	108.6 p
A,RLPR_PER,I15,HR02	112 e
A,RLPR_PER,I15,HR03	103.1 e
A,RLPR_PER,I15,HR05	108.4 e
A,RLPR_PER,I15,HR06	117.7 e
A,RLPR_PER,I15,HU11	112.9 e
A,RLPR_PER,I15,HU12	112.2 e
A,RLPR_PER,I15,HU21	104.1 e
A,RLPR_PER,I15,HU22	102 e
A,RLPR_PER,I15,HU23	111.2 e
A,RLPR_PER,I15,HU31	111.2 e
A,RLPR_PER,I15,HU32	110.7 e
A,RLPR_PER,I15,HU33	107.8 e
A,RLPR_PER,I15,IE04	121.8 e
A,RLPR_PER,I15,IE05	139.5 e
A,RLPR_PER,I15,IE06	132.7 e
A,RLPR_PER,I15,ITC1	100.8 e
A,RLPR_PER,I15,ITC2	97.6 e
A,RLPR_PER,I15,ITC3	97.9 e
A,RLPR_PER,I15,ITC4	102.8 e
A,RLPR_PER,I15,ITF1	99 e
A,RLPR_PER,I15,ITF2	101.6 e
A,RLPR_PER,I15,ITF3	98 e
A,RLPR_PER,I15,ITF4	98.9 e
A,RLPR_PER,I15,ITF5	100.4 e
A,RLPR_PER,I15,ITF6	101.7 e
A,RLPR_PER,I15,ITG1	99.6 e
A,RLPR_PER,I15,ITG2	94.3 e
A,RLPR_PER,I15,ITH1	98.6 e
A,RLPR_PER,I15,ITH2	102.1 e
A,RLPR_PER,I15,ITH3	99.3 e
A,RLPR_PER,I15,ITH4	102.3 e
A,RLPR_PER,I15,ITH5	102.1 e
A,RLPR_PER,I15,ITI1	98.2 e
A,RLPR_PER,I15,ITI2	98.3 e
A,RLPR_PER,I15,ITI3	97.8 e
A,RLPR_PER,I15,ITI4	97.8 e
A,RLPR_PER,I15,ITZZ	192.2 e
A,RLPR_PER,I15,LT01	114.6 e
A,RLPR_PER,I15,LT02	121.1 e
A,RLPR_PER,I15,LU00	98.3 e
A,RLPR_PER,I15,LV00	119.5 e
A,RLPR_PER,I15,MT00	101.9 e
A,RLPR_PER,I15,NL11	86.9 e
A,RLPR_PER,I15,NL12	100.2 e
A,RLPR_PER,I15,NL13	98.7 e
A,RLPR_PER,I15,NL21	104.4 e
A,RLPR_PER,I15,NL22	101.2 e
A,RLPR_PER,I15,NL23	101.1 e
A,RLPR_PER,I15,NL31	102.4 e
A,RLPR_PER,I15,NL32	103.9 e
A,RLPR_PER,I15,NL33	95.9 e
A,RLPR_PER,I15,NL34	101.7 e
A,RLPR_PER,I15,NL41	104.9 e
A,RLPR_PER,I15,NL42	103 e
A,RLPR_PER,I15,NLZZ	64.9 e
A,RLPR_PER,I15,PL21	117 e
A,RLPR_PER,I15,PL22	119.9 e
A,RLPR_PER,I15,PL41	116 e
A,RLPR_PER,I15,PL42	113.2 e
A,RLPR_PER,I15,PL43	116.1 e
A,RLPR_PER,I15,PL51	118.8 e
A,RLPR_PER,I15,PL52	115.5 e
A,RLPR_PER,I15,PL61	118.8 e
A,RLPR_PER,I15,PL62	112.5 e
A,RLPR_PER,I15,PL63	118.8 e
A,RLPR_PER,I15,PL71	121.3 e
A,RLPR_PER,I15,PL72	117.4 e
A,RLPR_PER,I15,PL81	118.4 e
A,RLPR_PER,I15,PL82	118.7 e
A,RLPR_PER,I15,PL84	120.3 e
A,RLPR_PER,I15,PL91	120.5 e
A,RLPR_PER,I15,PL92	124.8 e
A,RLPR_PER,I15,PT11	104.5 
A,RLPR_PER,I15,PT15	90.9 
A,RLPR_PER,I15,PT16	104.8 
A,RLPR_PER,I15,PT17	93.9 
A,RLPR_PER,I15,PT18	96.6 
A,RLPR_PER,I15,PT20	102.9 
A,RLPR_PER,I15,PT30	97.7 
A,RLPR_PER,I15,PTZZ	76.5 
A,RLPR_PER,I15,RO11	133.9 e
A,RLPR_PER,I15,RO12	113 e
A,RLPR_PER,I15,RO21	102 e
A,RLPR_PER,I15,RO22	109.2 e
A,RLPR_PER,I15,RO31	101.7 e
A,RLPR_PER,I15,RO32	151.1 e
A,RLPR_PER,I15,RO41	98.5 e
A,RLPR_PER,I15,RO42	137 e
A,RLPR_PER,I15,RS11	94.8 e
A,RLPR_PER,I15,RS12	106.5 e
A,RLPR_PER,I15,RS21	102.1 e
A,RLPR_PER,I15,RS22	132.7 e
A,RLPR_PER,I15,RSZZ	72.3 e
A,RLPR_PER,I15,SE11	109.7 e
A,RLPR_PER,I15,SE12	105.1 e
A,RLPR_PER,I15,SE21	108.9 e
A,RLPR_PER,I15,SE22	108.1 e
A,RLPR_PER,I15,SE23	105.2 e
A,RLPR_PER,I15,SE31	102.8 e
A,RLPR_PER,I15,SE32	106.5 e
A,RLPR_PER,I15,SE33	112.6 e
A,RLPR_PER,I15,SEZZ	84.9 e
A,RLPR_PER,I15,SI03	109.2 e
A,RLPR_PER,I15,SI04	108.1 e
A,RLPR_PER,I15,SK01	105.7 e
A,RLPR_PER,I15,SK02	109.8 e
A,RLPR_PER,I15,SK03	107.4 e
A,RLPR_PER,I15,SK04	107.7 e
