A,HR,Y15-64,T,EL64	42.7 	44.1 b
A,HR,Y15-64,T,EL65	43.4 	44.9 b
A,HR,Y15-64,T,ES11	38.6 	38.7 bd
A,HR,Y15-64,T,ES12	38.3 	38.1 bd
A,HR,Y15-64,T,ES13	37.5 	37.5 bd
A,HR,Y15-64,T,ES21	36.5 	36.7 bd
A,HR,Y15-64,T,ES22	36.9 	36.6 bd
A,HR,Y15-64,T,ES23	37.7 	37.4 bd
A,HR,Y15-64,T,ES24	38.2 	37.6 bd
A,HR,Y15-64,T,ES30	38.1 	37.6 bd
A,HR,Y15-64,T,ES41	38.1 	37.7 bd
A,HR,Y15-64,T,ES42	38.7 	38.0 bd
A,HR,Y15-64,T,ES43	36.9 	37.2 bd
A,HR,Y15-64,T,ES51	37.4 	37.0 bd
A,HR,Y15-64,T,ES52	37.4 	37.5 bd
A,HR,Y15-64,T,ES53	37.9 	37.8 bd
A,HR,Y15-64,T,ES61	37.3 	37.0 bd
A,HR,Y15-64,T,ES62	38.3 	37.9 bd
A,HR,Y15-64,T,ES63	35.7 	37.4 bd
A,HR,Y15-64,T,ES64	37.4 	36.9 bd
A,HR,Y15-64,T,ES70	37.3 	37.0 bd
A,HR,Y15-64,T,FI19	37.1 	36.0 b
A,HR,Y15-64,T,FI1B	37.1 	35.5 b
A,HR,Y15-64,T,FI1C	37.2 	36.2 b
A,HR,Y15-64,T,FI1D	36.9 	36.2 b
A,HR,Y15-64,T,FI20	37.2 	35.4 b
A,HR,Y15-64,T,FR10	38.2 	37.7 bd
A,HR,Y15-64,T,FRB0	37.8 	37.0 bd
A,HR,Y15-64,T,FRC1	37.2 	37.1 bd
A,HR,Y15-64,T,FRC2	38.3 	37.9 bd
A,HR,Y15-64,T,FRD1	37.8 	37.2 bd
A,HR,Y15-64,T,FRD2	37.0 	37.3 bd
A,HR,Y15-64,T,FRE1	36.2 	36.7 bd
A,HR,Y15-64,T,FRE2	36.9 	36.9 bd
A,HR,Y15-64,T,FRF1	36.0 	36.1 bd
A,HR,Y15-64,T,FRF2	37.0 	37.1 bd
A,HR,Y15-64,T,FRF3	36.7 	36.5 bd
A,HR,Y15-64,T,FRG0	37.5 	37.0 bd
A,HR,Y15-64,T,FRH0	38.2 	37.1 bd
A,HR,Y15-64,T,FRI1	37.1 	36.9 bd
A,HR,Y15-64,T,FRI2	38.1 	38.2 bd
A,HR,Y15-64,T,FRI3	37.3 	36.7 bd
A,HR,Y15-64,T,FRJ1	36.5 	36.0 bd
A,HR,Y15-64,T,FRJ2	37.3 	36.9 bd
A,HR,Y15-64,T,FRK1	37.2 	37.2 bd
A,HR,Y15-64,T,FRK2	37.4 	37.0 bd
A,HR,Y15-64,T,FRL0	36.7 	36.5 bd
A,HR,Y15-64,T,FRM0	37.3 u	37.3 bdu
A,HR,Y15-64,T,FRY1	34.3 	34.6 bd
A,HR,Y15-64,T,FRY2	35.0 	34.7 bd
A,HR,Y15-64,T,FRY3	35.4 	33.8 bd
A,HR,Y15-64,T,FRY4	34.9 	34.4 bd
A,HR,Y15-64,T,FRY5	38.5 	: 
A,HR,Y15-64,T,HR02	39.6 	39.6 b
A,HR,Y15-64,T,HR03	39.5 	39.5 b
