Code;2017;2021
BE10;:;:
BE21;0.0069;0.0169
BE22;0.1543;0.0913
BE23;0.0975;0.0962
BE24;0.1114;0.1187
BE25;0.1651;0.1956
BE31;0.1805;0.1603
BE32;0.1411;0.0809
BE33;0.2395;0.2212
BE34;0.7204;0.6384
BE35;0.6668;0.5398
BG31;0.4450;0.4562
BG32;0.3869;0.3794
BG33;0.2764;0.2785
BG34;0.3001;0.3182
BG41;0.1648;0.1535
BG42;0.3546;0.3306
CZ01;:;:
CZ02;0.4750;0.4531
CZ03;0.4788;0.4595
CZ04;0.2729;0.2340
CZ05;0.4244;0.4136
CZ06;0.4223;0.4089
CZ07;0.4487;0.4399
CZ08;0.1979;0.2280
DK01;0.0670;0.0565
DK02;0.5598;0.5324
DK03;0.5004;0.3977
DK04;0.4932;0.4184
DK05;0.5687;0.5250
DE11;0.1249;0.1223
DE12;0.1423;0.1109
DE13;0.2384;0.1863
DE14;0.2980;0.2730
DE21;0.2098;0.1903
DE22;0.4996;0.5790
DE23;0.4138;0.3776
DE24;0.3482;0.3272
DE25;0.1985;0.1713
DE26;0.3807;0.4022
DE27;0.2889;0.3447
DE30;:;:
DE40;0.3610;0.2754
DE50;:;:
DE60;:;:
DE71;0.0602;0.0642
DE72;0.3462;0.2561
DE73;0.3591;0.3468
DE80;0.4095;0.4050
DE91;0.2921;0.2348
DE92;0.2550;0.2356
DE93;0.4027;0.3794
DE94;0.3426;0.2357
DEA1;0.0297;0.0215
DEA2;0.0931;0.0557
DEA3;0.0954;0.0856
DEA4;0.1888;0.1420
DEA5;0.1073;0.0461
DEB1;0.4047;0.3702
DEB2;0.5418;0.5164
DEB3;0.2006;0.2179
DEC0;0.1538;0.1185
DED2;0.2108;0.2073
DED4;0.2303;0.1797
DED5;0.1362;0.1348
DEE0;0.3751;0.3216
DEF0;0.2720;0.2676
DEG0;0.3557;0.3084
EE00;0.3164;0.3661
IE04;0.7566;0.7666
IE05;0.5608;0.5479
IE06;0.1931;0.2021
IE01;:;:
IE02;:;:
EL30;0.0352;0.0224
EL41;0.5818;0.5878
EL42;0.5275;0.5114
EL43;0.4331;0.4599
EL51;0.4330;0.4618
EL52;0.2794;0.2901
EL53;0.4759;0.4402
EL54;0.5295;0.5727
EL61;0.3256;0.3152
EL62;0.6562;0.7285
EL63;0.4237;0.4507
EL64;0.5553;0.5739
EL65;0.5428;0.5617
ES11;0.2668;0.2411
ES12;0.1670;0.1784
ES13;0.2181;0.2077
ES21;0.1021;0.0938
ES22;0.3407;0.3443
ES23;0.2274;0.2414
ES24;0.2500;0.2260
ES30;0.0290;0.0282
ES41;0.3426;0.3401
ES42;0.3068;0.3039
ES43;0.3647;0.3235
ES51;0.1004;0.0845
ES52;0.0677;0.0821
ES53;0.1232;0.1324
ES61;0.1398;0.1410
ES62;0.0221;0.0121
ES63;:;:
ES64;:;:
ES70;0.0544;0.0553
FR10;0.0604;0.0406
FRB0;0.4955;0.4788
FRC1;0.5169;0.4466
FRC2;0.6161;0.5451
FRD1;0.4857;0.4655
FRD2;0.3934;0.3101
FRE1;0.1563;0.1657
FRE2;0.3599;0.4979
FRF1;0.3163;0.2571
FRF2;0.5187;0.5249
FRF3;0.3493;0.4233
FRG0;0.4565;0.5514
FRH0;0.4452;0.4569
FRI1;0.4642;0.4888
FRI2;0.5430;0.5703
FRI3;0.5630;0.6110
FRJ1;0.3102;0.3482
FRJ2;0.4884;0.3818
FRK1;0.5134;0.6835
FRK2;0.2759;0.3093
