freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,BAL,B5N,ES64	1135.5 p
A,MIO_EUR,BAL,B5N,ES70	29311.2 p
A,MIO_EUR,BAL,B5N,ESZZ	574.5 p
A,MIO_EUR,BAL,B5N,FI19	33479.99 
A,MIO_EUR,BAL,B5N,FI1B	56105.82 
A,MIO_EUR,BAL,B5N,FI1C	27725.83 
A,MIO_EUR,BAL,B5N,FI1D	28028.1 
A,MIO_EUR,BAL,B5N,FI20	923.26 
A,MIO_EUR,BAL,B5N,FR10	430241.9 p
A,MIO_EUR,BAL,B5N,FRB0	56481.5 p
A,MIO_EUR,BAL,B5N,FRC1	35677.7 p
A,MIO_EUR,BAL,B5N,FRC2	26172.4 p
A,MIO_EUR,BAL,B5N,FRD1	30109.5 p
A,MIO_EUR,BAL,B5N,FRD2	39827.4 p
A,MIO_EUR,BAL,B5N,FRE1	80961.7 p
A,MIO_EUR,BAL,B5N,FRE2	40352.5 p
A,MIO_EUR,BAL,B5N,FRF1	49778 p
A,MIO_EUR,BAL,B5N,FRF2	29980.9 p
A,MIO_EUR,BAL,B5N,FRF3	54001.7 p
A,MIO_EUR,BAL,B5N,FRG0	81550 p
A,MIO_EUR,BAL,B5N,FRH0	70630.8 p
A,MIO_EUR,BAL,B5N,FRI1	76126.6 p
A,MIO_EUR,BAL,B5N,FRI2	14783.8 p
A,MIO_EUR,BAL,B5N,FRI3	36836.7 p
A,MIO_EUR,BAL,B5N,FRJ1	53089.9 p
A,MIO_EUR,BAL,B5N,FRJ2	67690.5 p
A,MIO_EUR,BAL,B5N,FRK1	29591.5 p
A,MIO_EUR,BAL,B5N,FRK2	170181.6 p
A,MIO_EUR,BAL,B5N,FRL0	118329.6 p
A,MIO_EUR,BAL,B5N,FRM0	7219.7 p
A,MIO_EUR,BAL,B5N,FRY1	6789.1 p
A,MIO_EUR,BAL,B5N,FRY2	6840 p
A,MIO_EUR,BAL,B5N,FRY3	3373.8 p
A,MIO_EUR,BAL,B5N,FRY4	15482.6 p
A,MIO_EUR,BAL,B5N,FRY5	2395.5 p
A,MIO_EUR,BAL,B5N,HR02	7642.76 
A,MIO_EUR,BAL,B5N,HR03	10707.86 
A,MIO_EUR,BAL,B5N,HR05	9094.22 
A,MIO_EUR,BAL,B5N,HR06	6840.6 
A,MIO_EUR,BAL,B5N,HU11	24367.88 
A,MIO_EUR,BAL,B5N,HU12	13051.7 
A,MIO_EUR,BAL,B5N,HU21	9808.99 
A,MIO_EUR,BAL,B5N,HU22	8454.37 
A,MIO_EUR,BAL,B5N,HU23	6405.13 
A,MIO_EUR,BAL,B5N,HU31	7412.85 
A,MIO_EUR,BAL,B5N,HU32	10296.2 
A,MIO_EUR,BAL,B5N,HU33	9672.27 
A,MIO_EUR,BAL,B5N,HUZZ	0 
A,MIO_EUR,BAL,B5N,IE04	20259.63 
A,MIO_EUR,BAL,B5N,IE05	43597.45 
A,MIO_EUR,BAL,B5N,IE06	80535.28 
A,MIO_EUR,BAL,B5N,ITC1	99376.3 
A,MIO_EUR,BAL,B5N,ITC2	2607.1 
A,MIO_EUR,BAL,B5N,ITC3	32858 
A,MIO_EUR,BAL,B5N,ITC4	269731.9 
A,MIO_EUR,BAL,B5N,ITF1	21194.8 
A,MIO_EUR,BAL,B5N,ITF2	4406.1 
A,MIO_EUR,BAL,B5N,ITF3	73840.1 
A,MIO_EUR,BAL,B5N,ITF4	54614.5 
A,MIO_EUR,BAL,B5N,ITF5	7839 
A,MIO_EUR,BAL,B5N,ITF6	22567.4 
A,MIO_EUR,BAL,B5N,ITG1	62687.4 
A,MIO_EUR,BAL,B5N,ITG2	23923.9 
A,MIO_EUR,BAL,B5N,ITH1	15350 
A,MIO_EUR,BAL,B5N,ITH2	12351.3 
A,MIO_EUR,BAL,B5N,ITH3	109686.1 
A,MIO_EUR,BAL,B5N,ITH4	27074.8 
A,MIO_EUR,BAL,B5N,ITH5	111246.6 
A,MIO_EUR,BAL,B5N,ITI1	77913.9 
A,MIO_EUR,BAL,B5N,ITI2	16323.2 
A,MIO_EUR,BAL,B5N,ITI3	29795.6 
A,MIO_EUR,BAL,B5N,ITI4	126002.6 
A,MIO_EUR,BAL,B5N,ITZZ	0 
A,MIO_EUR,BAL,B5N,LT01	14279.81 
A,MIO_EUR,BAL,B5N,LT02	22865.07 
