freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,RECV,D1,FI1B	45427.49 
A,MIO_EUR,RECV,D1,FI1C	22127.42 
A,MIO_EUR,RECV,D1,FI1D	22797.56 
A,MIO_EUR,RECV,D1,FI20	676.59 
A,MIO_EUR,RECV,D1,FR10	356455 p
A,MIO_EUR,RECV,D1,FRB0	44527.6 p
A,MIO_EUR,RECV,D1,FRC1	27409.5 p
A,MIO_EUR,RECV,D1,FRC2	20843.5 p
A,MIO_EUR,RECV,D1,FRD1	23150.3 p
A,MIO_EUR,RECV,D1,FRD2	31907.3 p
A,MIO_EUR,RECV,D1,FRE1	66757.5 p
A,MIO_EUR,RECV,D1,FRE2	32263.5 p
A,MIO_EUR,RECV,D1,FRF1	41351.8 p
A,MIO_EUR,RECV,D1,FRF2	23904.2 p
A,MIO_EUR,RECV,D1,FRF3	44448.7 p
A,MIO_EUR,RECV,D1,FRG0	65290.9 p
A,MIO_EUR,RECV,D1,FRH0	54535.9 p
A,MIO_EUR,RECV,D1,FRI1	58600.2 p
A,MIO_EUR,RECV,D1,FRI2	11115.2 p
A,MIO_EUR,RECV,D1,FRI3	28019.4 p
A,MIO_EUR,RECV,D1,FRJ1	40051.1 p
A,MIO_EUR,RECV,D1,FRJ2	53346.2 p
A,MIO_EUR,RECV,D1,FRK1	22680.3 p
A,MIO_EUR,RECV,D1,FRK2	136895 p
A,MIO_EUR,RECV,D1,FRL0	91470.6 p
A,MIO_EUR,RECV,D1,FRM0	5271.6 p
A,MIO_EUR,RECV,D1,FRY1	5656.5 p
A,MIO_EUR,RECV,D1,FRY2	5586.8 p
A,MIO_EUR,RECV,D1,FRY3	2686 p
A,MIO_EUR,RECV,D1,FRY4	11445.7 p
A,MIO_EUR,RECV,D1,FRY5	2010.2 p
A,MIO_EUR,RECV,D1,HR02	5862.88 
A,MIO_EUR,RECV,D1,HR03	8592.06 
A,MIO_EUR,RECV,D1,HR05	8088.58 
A,MIO_EUR,RECV,D1,HR06	5823.34 
A,MIO_EUR,RECV,D1,HU11	15325.32 
A,MIO_EUR,RECV,D1,HU12	9686.75 
A,MIO_EUR,RECV,D1,HU21	7306.26 
A,MIO_EUR,RECV,D1,HU22	6017.55 
A,MIO_EUR,RECV,D1,HU23	4552.08 
A,MIO_EUR,RECV,D1,HU31	5800.35 
A,MIO_EUR,RECV,D1,HU32	7390.97 
A,MIO_EUR,RECV,D1,HU33	6866.03 
A,MIO_EUR,RECV,D1,HUZZ	0 
A,MIO_EUR,RECV,D1,IE04	15258.59 
A,MIO_EUR,RECV,D1,IE05	33389.63 
A,MIO_EUR,RECV,D1,IE06	62245.95 
A,MIO_EUR,RECV,D1,ITC1	60044.7 
A,MIO_EUR,RECV,D1,ITC2	1615 
A,MIO_EUR,RECV,D1,ITC3	19178.9 
A,MIO_EUR,RECV,D1,ITC4	170234 
A,MIO_EUR,RECV,D1,ITF1	13235.4 
A,MIO_EUR,RECV,D1,ITF2	2502.1 
A,MIO_EUR,RECV,D1,ITF3	44659.2 
A,MIO_EUR,RECV,D1,ITF4	32685.8 
A,MIO_EUR,RECV,D1,ITF5	4763.8 
A,MIO_EUR,RECV,D1,ITF6	13017.6 
A,MIO_EUR,RECV,D1,ITG1	36244.5 
A,MIO_EUR,RECV,D1,ITG2	14677.2 
A,MIO_EUR,RECV,D1,ITH1	10249.2 
A,MIO_EUR,RECV,D1,ITH2	8024.6 
A,MIO_EUR,RECV,D1,ITH3	68378.5 
A,MIO_EUR,RECV,D1,ITH4	17258.4 
A,MIO_EUR,RECV,D1,ITH5	67405.4 
A,MIO_EUR,RECV,D1,ITI1	46308.1 
A,MIO_EUR,RECV,D1,ITI2	9725.3 
A,MIO_EUR,RECV,D1,ITI3	17606.9 
A,MIO_EUR,RECV,D1,ITI4	83345.4 
A,MIO_EUR,RECV,D1,ITZZ	0 
A,MIO_EUR,RECV,D1,LT01	10581.61 
A,MIO_EUR,RECV,D1,LT02	16300.22 
A,MIO_EUR,RECV,D1,LU00	23084.7 
A,MIO_EUR,RECV,D1,LV00	16285.61 
A,MIO_EUR,RECV,D1,MT00	6688.32 
A,MIO_EUR,RECV,D1,MTZZ	0 
A,MIO_EUR,RECV,D1,NL11	11624 p
A,MIO_EUR,RECV,D1,NL12	12366 p
A,MIO_EUR,RECV,D1,NL13	9912 p
A,MIO_EUR,RECV,D1,NL21	24860 p
A,MIO_EUR,RECV,D1,NL22	46320 p
A,MIO_EUR,RECV,D1,NL23	9868 p
A,MIO_EUR,RECV,D1,NL31	36443 p
A,MIO_EUR,RECV,D1,NL32	75939 p
A,MIO_EUR,RECV,D1,NL33	89196 p
A,MIO_EUR,RECV,D1,NL34	7720 p
A,MIO_EUR,RECV,D1,NL41	61325 p
A,MIO_EUR,RECV,D1,NL42	22985 p
A,MIO_EUR,RECV,D1,PL21	19974.81 
A,MIO_EUR,RECV,D1,PL22	27085.56 
A,MIO_EUR,RECV,D1,PL41	20603.04 
A,MIO_EUR,RECV,D1,PL42	8474.77 
A,MIO_EUR,RECV,D1,PL43	5113.91 
A,MIO_EUR,RECV,D1,PL51	18548.15 
A,MIO_EUR,RECV,D1,PL52	4962.1 
A,MIO_EUR,RECV,D1,PL61	10297.03 
A,MIO_EUR,RECV,D1,PL62	6580.87 
A,MIO_EUR,RECV,D1,PL63	13675.85 
A,MIO_EUR,RECV,D1,PL71	13947.91 
A,MIO_EUR,RECV,D1,PL72	5606.76 
A,MIO_EUR,RECV,D1,PL81	9504.51 
A,MIO_EUR,RECV,D1,PL82	10097.91 
A,MIO_EUR,RECV,D1,PL84	5266.58 
A,MIO_EUR,RECV,D1,PL91	30903.14 
A,MIO_EUR,RECV,D1,PL92	11543.85 
A,MIO_EUR,RECV,D1,PT11	32825.91 
A,MIO_EUR,RECV,D1,PT15	3928.69 
A,MIO_EUR,RECV,D1,PT16	19804.91 
A,MIO_EUR,RECV,D1,PT17	37537.84 
A,MIO_EUR,RECV,D1,PT18	6226.75 
A,MIO_EUR,RECV,D1,PT20	2149.64 
A,MIO_EUR,RECV,D1,PT30	2342.13 
A,MIO_EUR,RECV,D1,RO11	12160.28 
A,MIO_EUR,RECV,D1,RO12	11063.13 
A,MIO_EUR,RECV,D1,RO21	9436.19 
A,MIO_EUR,RECV,D1,RO22	8575.41 
A,MIO_EUR,RECV,D1,RO31	9575.5 
A,MIO_EUR,RECV,D1,RO32	28381.25 
A,MIO_EUR,RECV,D1,RO41	6465.45 
A,MIO_EUR,RECV,D1,RO42	9291.25 
A,MIO_EUR,RECV,D1,SE11	72378.26 
A,MIO_EUR,RECV,D1,SE12	39152.22 
A,MIO_EUR,RECV,D1,SE21	18773.57 
A,MIO_EUR,RECV,D1,SE22	35645.39 
A,MIO_EUR,RECV,D1,SE23	50244.42 
A,MIO_EUR,RECV,D1,SE31	17993 
A,MIO_EUR,RECV,D1,SE32	8027.99 
A,MIO_EUR,RECV,D1,SE33	12024.84 
A,MIO_EUR,RECV,D1,SI03	13898.26 
A,MIO_EUR,RECV,D1,SI04	14079.84 
A,MIO_EUR,RECV,D1,SK01	10801.14 
A,MIO_EUR,RECV,D1,SK02	13662.94 
A,MIO_EUR,RECV,D1,SK03	10483.81 
A,MIO_EUR,RECV,D1,SK04	9968.96 
