A,PC,T,Y15-64,EL64	67.9 	67.6 b
A,PC,T,Y15-64,EL65	71.5 	71.7 b
A,PC,T,Y15-64,ES11	72.3 	72.0 bd
A,PC,T,Y15-64,ES12	68.8 	69.9 bd
A,PC,T,Y15-64,ES13	72.4 	72.2 bd
A,PC,T,Y15-64,ES21	73.8 	74.5 bd
A,PC,T,Y15-64,ES22	74.7 	74.1 bd
A,PC,T,Y15-64,ES23	75.6 	77.0 bd
A,PC,T,Y15-64,ES24	75.7 	75.9 bd
A,PC,T,Y15-64,ES30	77.3 	78.0 bd
A,PC,T,Y15-64,ES41	73.7 	73.4 bd
A,PC,T,Y15-64,ES42	73.3 	73.3 bd
A,PC,T,Y15-64,ES43	69.7 	70.8 bd
A,PC,T,Y15-64,ES51	77.3 	76.7 bd
A,PC,T,Y15-64,ES52	74.6 	73.0 bd
A,PC,T,Y15-64,ES53	76.9 	76.1 bd
A,PC,T,Y15-64,ES61	70.1 	70.1 bd
A,PC,T,Y15-64,ES62	71.9 	72.1 bd
A,PC,T,Y15-64,ES63	65.0 	65.4 bd
A,PC,T,Y15-64,ES64	65.7 	66.8 bd
A,PC,T,Y15-64,ES70	72.0 	69.9 bd
A,PC,T,Y15-64,FI19	76.4 	78.3 b
A,PC,T,Y15-64,FI1B	79.5 	81.4 b
A,PC,T,Y15-64,FI1C	75.1 	78.1 b
A,PC,T,Y15-64,FI1D	74.5 	76.0 b
A,PC,T,Y15-64,FI20	85.3 	86.9 b
A,PC,T,Y15-64,FR10	73.7 	75.8 bd
A,PC,T,Y15-64,FRB0	71.9 	74.3 bd
A,PC,T,Y15-64,FRC1	72.5 	74.1 bd
A,PC,T,Y15-64,FRC2	73.1 	72.0 bd
A,PC,T,Y15-64,FRD1	70.9 	72.8 bd
A,PC,T,Y15-64,FRD2	70.3 	72.9 bd
A,PC,T,Y15-64,FRE1	66.5 	69.3 bd
A,PC,T,Y15-64,FRE2	71.6 	69.8 bd
