freq,unit,geo\TIME_PERIOD	2017 	2021 
A,P_HTHAB,ITC1	363.05 	373.26 
A,P_HTHAB,ITC2	369.84 	368.56 
A,P_HTHAB,ITC3	453.00 	469.26 
A,P_HTHAB,ITC4	369.54 	380.55 
A,P_HTHAB,ITF1	428.22 	442.32 
A,P_HTHAB,ITF2	402.62 	416.41 
A,P_HTHAB,ITF3	384.90 	392.92 
A,P_HTHAB,ITF4	373.10 	388.79 
A,P_HTHAB,ITF5	353.06 	338.40 
A,P_HTHAB,ITF6	388.19 	371.04 
A,P_HTHAB,ITG1	430.38 	443.11 
A,P_HTHAB,ITG2	485.26 	483.41 
A,P_HTHAB,ITH1	321.48 	342.66 
A,P_HTHAB,ITH2	336.76 	329.97 
A,P_HTHAB,ITH3	342.85 	357.11 
A,P_HTHAB,ITH4	402.97 	400.47 
A,P_HTHAB,ITH5	422.31 	439.27 
A,P_HTHAB,ITI1	438.51 	452.85 
A,P_HTHAB,ITI2	446.68 	456.19 
A,P_HTHAB,ITI3	372.92 	386.82 
A,P_HTHAB,ITI4	459.22 	483.22 
A,P_HTHAB,LI00	363.52 	: 
A,P_HTHAB,LT01	586.39 	562.52 
A,P_HTHAB,LT02	403.58 	399.52 
A,P_HTHAB,LU00	298.49 	: 
A,P_HTHAB,LV00	320.50 	: 
A,P_HTHAB,ME00	265.11 	: 
A,P_HTHAB,NL11	534.92 	567.49 
A,P_HTHAB,NL12	227.33 	245.74 
A,P_HTHAB,NL13	283.57 	308.31 
A,P_HTHAB,NL21	257.13 	284.38 
A,P_HTHAB,NL22	354.38 	389.53 
A,P_HTHAB,NL23	125.44 	133.72 
A,P_HTHAB,NL32	477.75 	496.18 
A,P_HTHAB,NL34	161.55 	168.10 
A,P_HTHAB,NL41	254.88 	274.44 
A,P_HTHAB,NL42	344.83 	373.83 
A,P_HTHAB,NO02	388.86 	429.73 
A,P_HTHAB,NO06	446.71 	487.06 
A,P_HTHAB,NO07	507.50 	571.94 
A,P_HTHAB,NO08	: 	493.41 
A,P_HTHAB,NO09	: 	421.49 
A,P_HTHAB,NO0A	: 	457.56 
A,P_HTHAB,PL21	245.59 	355.19 
A,P_HTHAB,PL22	252.15 	363.28 
A,P_HTHAB,PL41	161.29 	291.66 
A,P_HTHAB,PL42	252.07 	331.39 
A,P_HTHAB,PL43	204.28 	238.55 
A,P_HTHAB,PL51	222.14 	373.49 
A,P_HTHAB,PL52	213.21 	255.52 
A,P_HTHAB,PL61	249.93 	301.64 
A,P_HTHAB,PL62	214.04 	261.66 
A,P_HTHAB,PL63	238.04 	353.50 
A,P_HTHAB,PL71	269.64 	409.04 
A,P_HTHAB,PL72	241.18 	311.07 
A,P_HTHAB,PL81	250.72 	377.05 
A,P_HTHAB,PL82	223.18 	280.71 
A,P_HTHAB,PL84	255.99 	395.26 
A,P_HTHAB,PL91	: 	590.27 
A,P_HTHAB,PL92	: 	211.20 
A,P_HTHAB,PT11	490.03 	570.60 
A,P_HTHAB,PT15	390.20 	430.69 
A,P_HTHAB,PT16	458.52 	: 
A,P_HTHAB,PT17	631.44 	: 
A,P_HTHAB,PT18	285.73 	: 
A,P_HTHAB,PT20	324.24 	383.13 
A,P_HTHAB,PT30	403.34 	501.28 
A,P_HTHAB,RO11	304.98 	361.22 
A,P_HTHAB,RO12	301.54 	358.12 
A,P_HTHAB,RO21	234.47 	269.28 
A,P_HTHAB,RO22	204.87 	237.92 
A,P_HTHAB,RO31	152.12 	165.03 
A,P_HTHAB,RO32	563.02 	711.90 
A,P_HTHAB,RO41	283.52 	329.64 
A,P_HTHAB,RO42	385.77 	482.96 
A,P_HTHAB,RS11	364.70 d	351.58 d
A,P_HTHAB,RS12	264.06 d	272.13 d
A,P_HTHAB,RS21	262.01 d	276.30 d
A,P_HTHAB,RS22	301.89 d	319.33 d
A,P_HTHAB,SE11	479.07 	466.93 
A,P_HTHAB,SE12	441.65 	462.98 
A,P_HTHAB,SE21	371.12 	397.72 
A,P_HTHAB,SE22	432.66 	448.72 
A,P_HTHAB,SE23	415.85 	434.43 
A,P_HTHAB,SE31	349.98 	366.83 
A,P_HTHAB,SE32	371.19 	412.79 
A,P_HTHAB,SE33	433.89 	462.82 
A,P_HTHAB,SI03	252.19 	286.31 
A,P_HTHAB,SI04	374.81 	387.28 
A,P_HTHAB,SK01	635.40 	679.36 
A,P_HTHAB,SK02	264.21 	280.40 
A,P_HTHAB,SK03	326.79 	346.27 
A,P_HTHAB,SK04	325.76 	349.26 
A,P_HTHAB,TR10	205.78 d	270.05 d
A,P_HTHAB,TR21	168.43 d	195.65 d
A,P_HTHAB,TR22	156.06 d	185.42 d
A,P_HTHAB,TR31	256.37 d	277.17 d
A,P_HTHAB,TR32	188.73 d	203.11 d
A,P_HTHAB,TR33	152.54 d	178.39 d
A,P_HTHAB,TR41	168.79 d	198.07 d
A,P_HTHAB,TR42	172.36 d	187.54 d
A,P_HTHAB,TR51	313.86 d	367.20 d
A,P_HTHAB,TR52	187.64 d	207.71 d
A,P_HTHAB,TR61	201.60 d	233.21 d
A,P_HTHAB,TR62	172.45 d	196.11 d
A,P_HTHAB,TR63	141.83 d	158.56 d
A,P_HTHAB,TR71	145.18 d	161.35 d
A,P_HTHAB,TR72	189.38 d	207.52 d
A,P_HTHAB,TR81	176.38 d	186.17 d
A,P_HTHAB,TR82	128.71 d	155.86 d
A,P_HTHAB,TR83	175.35 d	197.67 d
A,P_HTHAB,TR90	180.49 d	204.97 d
A,P_HTHAB,TRA1	200.41 d	228.14 d
A,P_HTHAB,TRA2	121.66 d	137.20 d
A,P_HTHAB,TRB1	199.24 d	216.19 d
A,P_HTHAB,TRB2	123.60 d	145.49 d
A,P_HTHAB,TRC1	148.09 d	166.30 d
A,P_HTHAB,TRC2	132.31 d	145.61 d
A,P_HTHAB,TRC3	112.04 d	132.95 d
