freq,unit,sex,age,geo\TIME_PERIOD	2021 
A,YR,T,Y_LT1,EL6	80.4 
A,YR,T,Y_LT1,EL61	80.0 
A,YR,T,Y_LT1,EL62	80.7 
A,YR,T,Y_LT1,EL63	80.3 
A,YR,T,Y_LT1,EL64	80.5 
A,YR,T,Y_LT1,EL65	80.8 
A,YR,T,Y_LT1,ES	83.3 
A,YR,T,Y_LT1,ES1	83.7 
A,YR,T,Y_LT1,ES11	83.9 
A,YR,T,Y_LT1,ES12	83.0 
A,YR,T,Y_LT1,ES13	84.0 
A,YR,T,Y_LT1,ES2	83.9 
A,YR,T,Y_LT1,ES21	84.1 
A,YR,T,Y_LT1,ES22	84.7 
A,YR,T,Y_LT1,ES23	83.4 
A,YR,T,Y_LT1,ES24	83.5 
A,YR,T,Y_LT1,ES3	85.2 
A,YR,T,Y_LT1,ES30	85.2 
A,YR,T,Y_LT1,ES4	83.6 
A,YR,T,Y_LT1,ES41	84.3 
A,YR,T,Y_LT1,ES42	83.3 
A,YR,T,Y_LT1,ES43	82.4 
A,YR,T,Y_LT1,ES5	83.2 
A,YR,T,Y_LT1,ES51	83.7 
A,YR,T,Y_LT1,ES52	82.4 
A,YR,T,Y_LT1,ES53	83.2 
A,YR,T,Y_LT1,ES6	81.7 
A,YR,T,Y_LT1,ES61	81.6 
A,YR,T,Y_LT1,ES62	82.4 
A,YR,T,Y_LT1,ES63	78.6 
A,YR,T,Y_LT1,ES64	79.9 
A,YR,T,Y_LT1,ES7	82.6 
A,YR,T,Y_LT1,ES70	82.6 
A,YR,T,Y_LT1,FI	81.9 
A,YR,T,Y_LT1,FI1	81.9 
A,YR,T,Y_LT1,FI19	82.3 
A,YR,T,Y_LT1,FI1B	82.3 
A,YR,T,Y_LT1,FI1C	81.6 
A,YR,T,Y_LT1,FI1D	81.3 
A,YR,T,Y_LT1,FI2	84.6 
A,YR,T,Y_LT1,FI20	84.6 
A,YR,T,Y_LT1,FR	82.4 p
A,YR,T,Y_LT1,FR1	83.8 p
A,YR,T,Y_LT1,FR10	83.8 p
A,YR,T,Y_LT1,FRB	82.2 p
A,YR,T,Y_LT1,FRB0	82.2 p
A,YR,T,Y_LT1,FRC	82.3 p
A,YR,T,Y_LT1,FRC1	82.3 p
A,YR,T,Y_LT1,FRC2	82.4 p
A,YR,T,Y_LT1,FRD	81.6 p
A,YR,T,Y_LT1,FRD1	81.7 p
A,YR,T,Y_LT1,FRD2	81.4 p
A,YR,T,Y_LT1,FRE	80.5 p
A,YR,T,Y_LT1,FRE1	80.4 p
A,YR,T,Y_LT1,FRE2	80.7 p
A,YR,T,Y_LT1,FRF	81.8 p
A,YR,T,Y_LT1,FRF1	82.9 p
A,YR,T,Y_LT1,FRF2	81.2 p
A,YR,T,Y_LT1,FRF3	81.3 p
A,YR,T,Y_LT1,FRG	83.1 p
A,YR,T,Y_LT1,FRG0	83.1 p
A,YR,T,Y_LT1,FRH	82.4 p
A,YR,T,Y_LT1,FRH0	82.4 p
A,YR,T,Y_LT1,FRI	82.7 p
A,YR,T,Y_LT1,FRI1	83.1 p
A,YR,T,Y_LT1,FRI2	82.1 p
A,YR,T,Y_LT1,FRI3	82.3 p
A,YR,T,Y_LT1,FRJ	82.9 p
A,YR,T,Y_LT1,FRJ1	82.3 p
A,YR,T,Y_LT1,FRJ2	83.5 p
A,YR,T,Y_LT1,FRK	83.4 p
A,YR,T,Y_LT1,FRK1	82.1 p
A,YR,T,Y_LT1,FRK2	83.8 p
A,YR,T,Y_LT1,FRL	82.4 p
A,YR,T,Y_LT1,FRL0	82.4 p
A,YR,T,Y_LT1,FRM	83.4 p
A,YR,T,Y_LT1,FRM0	83.4 p
A,YR,T,Y_LT1,FRY	78.8 p
A,YR,T,Y_LT1,FRY1	77.6 p
A,YR,T,Y_LT1,FRY2	78.2 p
A,YR,T,Y_LT1,FRY3	77.2 p
A,YR,T,Y_LT1,FRY4	80.9 p
A,YR,T,Y_LT1,FRY5	71.5 p
A,YR,T,Y_LT1,HR	76.6 
A,YR,T,Y_LT1,HR0	76.6 
A,YR,T,Y_LT1,HR02	75.2 
A,YR,T,Y_LT1,HR03	77.7 
A,YR,T,Y_LT1,HR05	77.6 
A,YR,T,Y_LT1,HR06	75.7 
A,YR,T,Y_LT1,HU	74.1 
A,YR,T,Y_LT1,HU1	75.7 
A,YR,T,Y_LT1,HU11	76.4 
A,YR,T,Y_LT1,HU12	74.9 
A,YR,T,Y_LT1,HU2	74.2 
A,YR,T,Y_LT1,HU21	73.9 
A,YR,T,Y_LT1,HU22	74.9 
A,YR,T,Y_LT1,HU23	73.7 
A,YR,T,Y_LT1,HU3	72.9 
A,YR,T,Y_LT1,HU31	72.0 
A,YR,T,Y_LT1,HU32	73.0 
A,YR,T,Y_LT1,HU33	73.7 
A,YR,T,Y_LT1,IE	82.3 
A,YR,T,Y_LT1,IE0	82.3 
A,YR,T,Y_LT1,IE04	82.5 
A,YR,T,Y_LT1,IE05	81.9 
A,YR,T,Y_LT1,IE06	82.5 
A,YR,T,Y_LT1,IS	83.2 
A,YR,T,Y_LT1,IS0	83.2 
A,YR,T,Y_LT1,IS00	83.2 
A,YR,T,Y_LT1,IT	82.7 
A,YR,T,Y_LT1,ITC	83.3 
A,YR,T,Y_LT1,ITC1	82.8 
A,YR,T,Y_LT1,ITC2	83.0 
A,YR,T,Y_LT1,ITC3	83.0 
A,YR,T,Y_LT1,ITC4	83.6 
A,YR,T,Y_LT1,ITF	81.7 
A,YR,T,Y_LT1,ITF1	82.8 
A,YR,T,Y_LT1,ITF2	81.6 
A,YR,T,Y_LT1,ITF3	80.9 
A,YR,T,Y_LT1,ITF4	82.2 
A,YR,T,Y_LT1,ITF5	82.7 
A,YR,T,Y_LT1,ITF6	81.7 
A,YR,T,Y_LT1,ITG	81.7 
A,YR,T,Y_LT1,ITG1	81.3 
A,YR,T,Y_LT1,ITG2	83.0 
A,YR,T,Y_LT1,ITH	83.3 
A,YR,T,Y_LT1,ITH1	83.8 
A,YR,T,Y_LT1,ITH2	84.2 
A,YR,T,Y_LT1,ITH3	83.6 
A,YR,T,Y_LT1,ITH4	82.5 
A,YR,T,Y_LT1,ITH5	83.2 
A,YR,T,Y_LT1,ITI	83.1 
A,YR,T,Y_LT1,ITI1	83.4 
A,YR,T,Y_LT1,ITI2	83.4 
A,YR,T,Y_LT1,ITI3	83.2 
A,YR,T,Y_LT1,ITI4	82.9 
A,YR,T,Y_LT1,LI	84.4 e
A,YR,T,Y_LT1,LT	74.2 
A,YR,T,Y_LT1,LT0	74.2 
A,YR,T,Y_LT1,LT01	74.6 
A,YR,T,Y_LT1,LT02	74.0 
A,YR,T,Y_LT1,LU	82.7 
A,YR,T,Y_LT1,LU0	82.7 
A,YR,T,Y_LT1,LU00	82.7 
A,YR,T,Y_LT1,LV	73.1 
A,YR,T,Y_LT1,LV0	73.1 
A,YR,T,Y_LT1,LV00	73.1 
A,YR,T,Y_LT1,ME	73.8 
A,YR,T,Y_LT1,ME0	73.8 
A,YR,T,Y_LT1,ME00	73.8 
A,YR,T,Y_LT1,MK	73.2 b
A,YR,T,Y_LT1,MK0	73.2 b
A,YR,T,Y_LT1,MK00	73.2 b
A,YR,T,Y_LT1,MT	82.3 
A,YR,T,Y_LT1,MT0	82.3 
A,YR,T,Y_LT1,MT00	82.3 
A,YR,T,Y_LT1,NL	81.4 
A,YR,T,Y_LT1,NL1	81.1 
A,YR,T,Y_LT1,NL11	80.8 
A,YR,T,Y_LT1,NL12	81.3 
A,YR,T,Y_LT1,NL13	81.0 
A,YR,T,Y_LT1,NL2	81.3 
A,YR,T,Y_LT1,NL21	81.1 
A,YR,T,Y_LT1,NL22	81.4 
A,YR,T,Y_LT1,NL23	81.1 
A,YR,T,Y_LT1,NL3	81.6 
A,YR,T,Y_LT1,NL31	82.0 
A,YR,T,Y_LT1,NL32	81.6 
A,YR,T,Y_LT1,NL33	81.4 
A,YR,T,Y_LT1,NL34	81.3 
A,YR,T,Y_LT1,NL4	81.3 
A,YR,T,Y_LT1,NL41	81.6 
A,YR,T,Y_LT1,NL42	80.7 
A,YR,T,Y_LT1,NO	83.2 
A,YR,T,Y_LT1,NO0	83.2 
A,YR,T,Y_LT1,NO02	82.4 
A,YR,T,Y_LT1,NO06	83.6 
A,YR,T,Y_LT1,NO07	82.6 
A,YR,T,Y_LT1,NO08	83.2 
A,YR,T,Y_LT1,NO09	82.9 
A,YR,T,Y_LT1,NO0A	83.6 
