freq,currency,nace_r2,geo\TIME_PERIOD	2021 
A,MIO_EUR,TOTAL,ES62	29602 p
A,MIO_EUR,TOTAL,ES63	1597 p
A,MIO_EUR,TOTAL,ES64	1463 p
A,MIO_EUR,TOTAL,ES70	38761.8 p
A,MIO_EUR,TOTAL,ESZZ	1067 p
A,MIO_EUR,TOTAL,FI19	48524.9 
A,MIO_EUR,TOTAL,FI1B	85596.44 
A,MIO_EUR,TOTAL,FI1C	39953.21 
A,MIO_EUR,TOTAL,FI1D	42150.02 
A,MIO_EUR,TOTAL,FI20	1165.76 
A,MIO_EUR,TOTAL,FIZZ	75.67 
A,MIO_EUR,TOTAL,FR10	670773.22 
A,MIO_EUR,TOTAL,FRB0	68856.7 
A,MIO_EUR,TOTAL,FRC1	43637.74 
A,MIO_EUR,TOTAL,FRC2	28431.85 
A,MIO_EUR,TOTAL,FRD1	37696.35 
A,MIO_EUR,TOTAL,FRD2	51597.89 
A,MIO_EUR,TOTAL,FRE1	108267.97 
A,MIO_EUR,TOTAL,FRE2	46080.44 
A,MIO_EUR,TOTAL,FRF1	56987.98 
A,MIO_EUR,TOTAL,FRF2	35652.43 
A,MIO_EUR,TOTAL,FRF3	55212.33 
A,MIO_EUR,TOTAL,FRG0	111973.74 
A,MIO_EUR,TOTAL,FRH0	94020.41 
A,MIO_EUR,TOTAL,FRI1	101029.98 
A,MIO_EUR,TOTAL,FRI2	17938.59 
A,MIO_EUR,TOTAL,FRI3	48410.08 
A,MIO_EUR,TOTAL,FRJ1	72171.53 
A,MIO_EUR,TOTAL,FRJ2	90069.86 
A,MIO_EUR,TOTAL,FRK1	36405.7 
A,MIO_EUR,TOTAL,FRK2	219403.76 
A,MIO_EUR,TOTAL,FRL0	169505.98 
A,MIO_EUR,TOTAL,FRM0	8976.96 
A,MIO_EUR,TOTAL,FRY1	8960.95 
A,MIO_EUR,TOTAL,FRY2	8358.16 
A,MIO_EUR,TOTAL,FRY3	4264.99 
A,MIO_EUR,TOTAL,FRY4	19205.07 
A,MIO_EUR,TOTAL,FRY5	2970.8 
A,MIO_EUR,TOTAL,FRZZ	943.55 
A,MIO_EUR,TOTAL,HR02	8879.14 
A,MIO_EUR,TOTAL,HR03	15027.94 
A,MIO_EUR,TOTAL,HR05	16572.53 
A,MIO_EUR,TOTAL,HR06	7857.64 
A,MIO_EUR,TOTAL,HU11	47959.34 
A,MIO_EUR,TOTAL,HU12	14411.18 
A,MIO_EUR,TOTAL,HU21	13266.88 
A,MIO_EUR,TOTAL,HU22	12044.04 
A,MIO_EUR,TOTAL,HU23	7939.58 
A,MIO_EUR,TOTAL,HU31	10250.86 
A,MIO_EUR,TOTAL,HU32	12531.21 
A,MIO_EUR,TOTAL,HU33	11909.85 
A,MIO_EUR,TOTAL,HUZZ	0 
A,MIO_EUR,TOTAL,IE04	30721.45 
A,MIO_EUR,TOTAL,IE05	153353.32 
A,MIO_EUR,TOTAL,IE06	224336.46 
A,MIO_EUR,TOTAL,ITC1	124838.7 
A,MIO_EUR,TOTAL,ITC2	4292 
A,MIO_EUR,TOTAL,ITC3	44398.9 
A,MIO_EUR,TOTAL,ITC4	372139.1 
A,MIO_EUR,TOTAL,ITF1	30054.1 
A,MIO_EUR,TOTAL,ITF2	5974.1 
A,MIO_EUR,TOTAL,ITF3	100196.8 
A,MIO_EUR,TOTAL,ITF4	71558.4 
A,MIO_EUR,TOTAL,ITF5	11943.5 
A,MIO_EUR,TOTAL,ITF6	30311.9 
A,MIO_EUR,TOTAL,ITG1	82600.5 
A,MIO_EUR,TOTAL,ITG2	32060.4 
A,MIO_EUR,TOTAL,ITH1	23297.7 
A,MIO_EUR,TOTAL,ITH2	19446.9 
A,MIO_EUR,TOTAL,ITH3	150726.1 
A,MIO_EUR,TOTAL,ITH4	36372.6 
A,MIO_EUR,TOTAL,ITH5	150879.2 
A,MIO_EUR,TOTAL,ITI1	106453.5 
A,MIO_EUR,TOTAL,ITI2	20797 
A,MIO_EUR,TOTAL,ITI3	38902.7 
A,MIO_EUR,TOTAL,ITI4	178353.2 
A,MIO_EUR,TOTAL,ITZZ	1690.1 
A,MIO_EUR,TOTAL,LT01	21794.67 
A,MIO_EUR,TOTAL,LT02	28731.4 
A,MIO_EUR,TOTAL,LU00	65870.38 
A,MIO_EUR,TOTAL,LV00	29109.19 
A,MIO_EUR,TOTAL,LVZZ	37.91 
A,MIO_EUR,TOTAL,ME00	4021.51 
A,MIO_EUR,TOTAL,MK00	10224.1 
A,MIO_EUR,TOTAL,MT00	13973.61 
A,MIO_EUR,TOTAL,MTZZ	20.81 
A,MIO_EUR,TOTAL,NL11	23311 p
A,MIO_EUR,TOTAL,NL12	20401 p
A,MIO_EUR,TOTAL,NL13	15032 p
A,MIO_EUR,TOTAL,NL21	44063 p
