freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y25-64,DEF0	8.5 	7.3 b
A,PC,T,Y25-64,DEG	8.6 	6.1 b
A,PC,T,Y25-64,DEG0	8.6 	6.1 b
A,PC,T,Y25-64,DK	26.9 b	22.4 b
A,PC,T,Y25-64,DK0	26.9 b	22.4 b
A,PC,T,Y25-64,DK01	30.7 b	26.0 b
A,PC,T,Y25-64,DK02	24.3 b	20.3 b
A,PC,T,Y25-64,DK03	24.8 b	19.4 b
A,PC,T,Y25-64,DK04	26.3 b	22.0 b
A,PC,T,Y25-64,DK05	23.9 b	20.0 b
A,PC,T,Y25-64,EA20	11.2 	11.4 b
A,PC,T,Y25-64,EE	16.8 	18.4 b
A,PC,T,Y25-64,EE0	16.8 	18.4 b
A,PC,T,Y25-64,EE00	16.8 	18.4 b
A,PC,T,Y25-64,EL	4.5 	3.5 b
A,PC,T,Y25-64,EL3	6.6 	4.6 b
A,PC,T,Y25-64,EL30	6.6 	4.6 b
A,PC,T,Y25-64,EL4	3.1 	2.7 b
A,PC,T,Y25-64,EL41	3.7 	4.2 b
A,PC,T,Y25-64,EL42	1.5 u	1.9 bu
A,PC,T,Y25-64,EL43	3.8 	2.7 b
A,PC,T,Y25-64,EL5	4.2 	3.2 b
A,PC,T,Y25-64,EL51	5.6 	3.0 b
A,PC,T,Y25-64,EL52	4.0 	3.1 b
A,PC,T,Y25-64,EL53	5.2 	3.3 b
A,PC,T,Y25-64,EL54	1.9 u	4.2 b
A,PC,T,Y25-64,EL6	2.3 	2.4 b
A,PC,T,Y25-64,EL61	2.5 	3.8 b
A,PC,T,Y25-64,EL62	2.5 u	: bu
A,PC,T,Y25-64,EL63	3.5 	3.2 b
A,PC,T,Y25-64,EL64	1.4 	1.6 b
A,PC,T,Y25-64,EL65	1.7 	1.3 b
A,PC,T,Y25-64,ES	9.9 	14.3 b
A,PC,T,Y25-64,ES1	9.5 	15.1 b
A,PC,T,Y25-64,ES11	9.4 	15.0 b
A,PC,T,Y25-64,ES12	9.0 	14.6 b
A,PC,T,Y25-64,ES13	10.7 	16.1 b
A,PC,T,Y25-64,ES2	12.3 	16.0 b
A,PC,T,Y25-64,ES21	13.2 	16.7 b
A,PC,T,Y25-64,ES22	11.2 	16.0 b
A,PC,T,Y25-64,ES23	9.8 	14.0 b
A,PC,T,Y25-64,ES24	12.1 	15.2 b
A,PC,T,Y25-64,ES3	11.5 	15.6 b
A,PC,T,Y25-64,ES30	11.5 	15.6 b
A,PC,T,Y25-64,ES4	9.5 	13.4 b
A,PC,T,Y25-64,ES41	9.8 	15.0 b
A,PC,T,Y25-64,ES42	9.2 	12.1 b
A,PC,T,Y25-64,ES43	9.3 	12.6 b
A,PC,T,Y25-64,ES5	9.2 	14.6 b
A,PC,T,Y25-64,ES51	7.7 	12.9 b
A,PC,T,Y25-64,ES52	11.6 	17.2 b
A,PC,T,Y25-64,ES53	8.6 	13.9 b
