freq,unit,sex,age,geo\TIME_PERIOD	2017 	2021 
A,PC,T,Y18-24,DEF0	8.8 	14.6 b
A,PC,T,Y18-24,DEG	8.7 	12.9 bu
A,PC,T,Y18-24,DEG0	8.7 	12.9 bu
A,PC,T,Y18-24,DK	8.8 b	9.8 b
A,PC,T,Y18-24,DK0	8.8 b	9.8 b
A,PC,T,Y18-24,DK01	7.1 b	8.6 b
A,PC,T,Y18-24,DK02	12.3 b	13.8 b
A,PC,T,Y18-24,DK03	10.2 b	10.4 b
A,PC,T,Y18-24,DK04	8.7 b	9.6 b
A,PC,T,Y18-24,DK05	8.3 b	8.9 b
A,PC,T,Y18-24,EA20	10.8 	9.9 b
A,PC,T,Y18-24,EE	11.8 	9.8 b
A,PC,T,Y18-24,EE0	11.8 	9.8 b
A,PC,T,Y18-24,EE00	11.8 	9.8 b
A,PC,T,Y18-24,EL	6.0 	3.2 b
A,PC,T,Y18-24,EL3	2.8 	2.5 b
A,PC,T,Y18-24,EL30	2.8 	2.5 b
A,PC,T,Y18-24,EL4	11.3 	3.7 bu
A,PC,T,Y18-24,EL41	17.7 u	: bu
A,PC,T,Y18-24,EL42	11.8 u	: bu
A,PC,T,Y18-24,EL43	9.5 	4.4 bu
A,PC,T,Y18-24,EL5	6.1 	2.3 b
A,PC,T,Y18-24,EL51	12.4 	4.9 bu
A,PC,T,Y18-24,EL52	5.0 	1.7 bu
A,PC,T,Y18-24,EL53	: u	: bu
A,PC,T,Y18-24,EL54	: u	: bu
A,PC,T,Y18-24,EL6	8.5 	5.0 b
A,PC,T,Y18-24,EL61	: u	: bu
A,PC,T,Y18-24,EL62	: u	: bu
A,PC,T,Y18-24,EL63	12.1 	6.9 bu
A,PC,T,Y18-24,EL64	11.4 u	11.1 bu
A,PC,T,Y18-24,EL65	8.3 u	: bu
A,PC,T,Y18-24,ES	18.3 	13.3 b
A,PC,T,Y18-24,ES1	14.1 	9.1 b
A,PC,T,Y18-24,ES11	14.9 	8.7 b
A,PC,T,Y18-24,ES12	14.8 	12.2 b
A,PC,T,Y18-24,ES13	8.9 u	6.3 bu
A,PC,T,Y18-24,ES2	11.0 	8.6 b
A,PC,T,Y18-24,ES21	7.0 	5.3 b
A,PC,T,Y18-24,ES22	11.3 u	8.4 bu
A,PC,T,Y18-24,ES23	12.9 u	13.1 bu
A,PC,T,Y18-24,ES24	16.4 	13.0 b
A,PC,T,Y18-24,ES3	13.9 	9.8 b
A,PC,T,Y18-24,ES30	13.9 	9.8 b
A,PC,T,Y18-24,ES4	19.4 	14.2 b
A,PC,T,Y18-24,ES41	16.7 	12.7 b
A,PC,T,Y18-24,ES42	22.1 	15.5 b
A,PC,T,Y18-24,ES43	19.2 	14.3 b
A,PC,T,Y18-24,ES5	19.1 	14.3 b
A,PC,T,Y18-24,ES51	17.0 	14.9 b
A,PC,T,Y18-24,ES52	20.3 	13.2 b
A,PC,T,Y18-24,ES53	26.5 	15.4 b
A,PC,T,Y18-24,ES6	23.4 	17.4 b
A,PC,T,Y18-24,ES61	23.5 	17.7 b
A,PC,T,Y18-24,ES62	23.1 	16.6 b
A,PC,T,Y18-24,ES63	20.1 u	14.6 bu
A,PC,T,Y18-24,ES64	27.5 u	: bu
A,PC,T,Y18-24,ES7	17.5 	12.0 b
A,PC,T,Y18-24,ES70	17.5 	12.0 b
A,PC,T,Y18-24,EU27_2020	10.5 	9.8 b
A,PC,T,Y18-24,FI	8.2 	8.2 b
A,PC,T,Y18-24,FI1	8.2 	8.2 b
A,PC,T,Y18-24,FI19	7.1 	8.0 b
A,PC,T,Y18-24,FI1B	8.1 	6.3 b
A,PC,T,Y18-24,FI1C	9.4 	11.4 b
A,PC,T,Y18-24,FI1D	8.7 	8.8 b
A,PC,T,Y18-24,FI2	: u	: bu
A,PC,T,Y18-24,FI20	: u	: bu
A,PC,T,Y18-24,FR	8.8 	7.8 b
A,PC,T,Y18-24,FR1	7.5 	6.2 b
A,PC,T,Y18-24,FR10	7.5 	6.2 b
A,PC,T,Y18-24,FRB	8.2 	7.7 b
A,PC,T,Y18-24,FRB0	8.2 	7.7 b
A,PC,T,Y18-24,FRC	9.7 	7.5 b
A,PC,T,Y18-24,FRC1	8.8 	7.1 bu
A,PC,T,Y18-24,FRC2	11.5 u	7.9 bu
A,PC,T,Y18-24,FRD	8.1 	9.1 b
A,PC,T,Y18-24,FRD1	7.3 u	7.3 bu
A,PC,T,Y18-24,FRD2	8.8 	10.5 b
A,PC,T,Y18-24,FRE	11.3 	11.0 b
A,PC,T,Y18-24,FRE1	10.3 	11.4 b
A,PC,T,Y18-24,FRE2	14.3 	9.9 b
A,PC,T,Y18-24,FRF	8.5 	7.0 b
A,PC,T,Y18-24,FRF1	8.4 	6.1 bu
A,PC,T,Y18-24,FRF2	10.8 	7.9 bu
A,PC,T,Y18-24,FRF3	7.3 	7.2 b
A,PC,T,Y18-24,FRG	6.5 	6.9 b
A,PC,T,Y18-24,FRG0	6.5 	6.9 b
A,PC,T,Y18-24,FRH	5.8 	5.9 b
A,PC,T,Y18-24,FRH0	5.8 	5.9 b
A,PC,T,Y18-24,FRI	6.9 	6.4 b
A,PC,T,Y18-24,FRI1	7.1 	6.4 b
A,PC,T,Y18-24,FRI2	3.5 u	: bu
A,PC,T,Y18-24,FRI3	8.0 	7.2 bu
A,PC,T,Y18-24,FRJ	9.6 	8.6 b
A,PC,T,Y18-24,FRJ1	14.6 	10.9 b
A,PC,T,Y18-24,FRJ2	5.5 	6.7 b
A,PC,T,Y18-24,FRK	8.2 	7.9 b
A,PC,T,Y18-24,FRK1	7.6 u	10.8 bu
A,PC,T,Y18-24,FRK2	8.3 	7.4 b
A,PC,T,Y18-24,FRL	11.7 	8.1 b
A,PC,T,Y18-24,FRL0	11.7 	8.1 b
A,PC,T,Y18-24,FRM	: u	: bu
A,PC,T,Y18-24,FRM0	: u	: bu
A,PC,T,Y18-24,FRY	20.2 	13.7 b
A,PC,T,Y18-24,FRY1	12.7 u	: bu
A,PC,T,Y18-24,FRY2	14.1 u	12.4 bu
A,PC,T,Y18-24,FRY3	34.5 	23.3 b
A,PC,T,Y18-24,FRY4	20.4 	12.3 b
A,PC,T,Y18-24,HR	3.1 	2.4 bu
A,PC,T,Y18-24,HR0	3.1 	2.4 bu
A,PC,T,Y18-24,HR02	5.1 u	2.2 bu
A,PC,T,Y18-24,HR03	1.7 u	1.9 bu
A,PC,T,Y18-24,HR05	: u	3.4 bu
A,PC,T,Y18-24,HR06	3.3 u	2.5 bu
A,PC,T,Y18-24,HU	12.5 	12.0 b
A,PC,T,Y18-24,HU1	7.6 	7.1 b
A,PC,T,Y18-24,HU11	7.2 	5.4 b
A,PC,T,Y18-24,HU12	8.1 	9.1 b
A,PC,T,Y18-24,HU2	12.8 	10.4 b
A,PC,T,Y18-24,HU21	12.9 	11.2 b
A,PC,T,Y18-24,HU22	9.9 	6.8 bu
A,PC,T,Y18-24,HU23	15.7 	13.2 b
A,PC,T,Y18-24,HU3	15.4 	16.5 b
A,PC,T,Y18-24,HU31	21.6 	22.3 b
A,PC,T,Y18-24,HU32	14.2 	16.9 b
A,PC,T,Y18-24,HU33	11.0 	10.4 b
A,PC,T,Y18-24,IE	5.0 b	3.3 b
A,PC,T,Y18-24,IE0	5.0 b	3.3 b
A,PC,T,Y18-24,IE04	4.8 b	: bu
A,PC,T,Y18-24,IE05	4.6 b	: bu
A,PC,T,Y18-24,IE06	5.4 b	3.4 bu
