freq,nace_r2,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,HTC,PC_EMP,T,ES22	1.8 	2.6 bd
A,HTC,PC_EMP,T,ES23	1.4 u	1.8 bdu
A,HTC,PC_EMP,T,ES24	2.4 	2.5 bd
A,HTC,PC_EMP,T,ES30	8.7 	8.2 bd
A,HTC,PC_EMP,T,ES41	1.9 	2.5 bd
A,HTC,PC_EMP,T,ES42	2.3 	2.1 bd
A,HTC,PC_EMP,T,ES43	1.4 	2.8 bd
A,HTC,PC_EMP,T,ES51	4.9 	5.2 bd
A,HTC,PC_EMP,T,ES52	2.0 	2.8 bd
A,HTC,PC_EMP,T,ES53	1.4 	1.3 bd
A,HTC,PC_EMP,T,ES61	2.5 	2.7 bd
A,HTC,PC_EMP,T,ES62	1.7 	2.1 bd
A,HTC,PC_EMP,T,ES63	: u	: bu
A,HTC,PC_EMP,T,ES64	: u	: bu
A,HTC,PC_EMP,T,ES70	1.7 	3.1 bd
A,HTC,PC_EMP,T,FI19	4.0 	4.0 b
A,HTC,PC_EMP,T,FI1B	9.4 	10.5 b
A,HTC,PC_EMP,T,FI1C	3.4 	3.9 b
A,HTC,PC_EMP,T,FI1D	3.9 	4.3 b
A,HTC,PC_EMP,T,FI20	: u	: bu
A,HTC,PC_EMP,T,FR10	7.2 	8.1 bd
A,HTC,PC_EMP,T,FRB0	3.2 	3.8 bd
A,HTC,PC_EMP,T,FRC1	2.3 	2.3 bd
A,HTC,PC_EMP,T,FRC2	5.4 	5.1 bd
A,HTC,PC_EMP,T,FRD1	2.4 	2.8 bd
A,HTC,PC_EMP,T,FRD2	2.8 	2.5 bd
A,HTC,PC_EMP,T,FRE1	2.1 	2.9 bd
A,HTC,PC_EMP,T,FRE2	2.2 	2.3 bd
A,HTC,PC_EMP,T,FRF1	4.2 	4.9 bd
A,HTC,PC_EMP,T,FRF2	1.2 u	1.4 bdu
A,HTC,PC_EMP,T,FRF3	2.3 	2.1 bd
A,HTC,PC_EMP,T,FRG0	3.6 	3.6 bd
A,HTC,PC_EMP,T,FRH0	2.9 	4.1 bd
A,HTC,PC_EMP,T,FRI1	3.2 	3.0 bd
A,HTC,PC_EMP,T,FRI2	2.0 u	: bu
A,HTC,PC_EMP,T,FRI3	2.0 	1.7 bd
A,HTC,PC_EMP,T,FRJ1	2.3 	3.4 bd
A,HTC,PC_EMP,T,FRJ2	4.8 	6.8 bd
A,HTC,PC_EMP,T,FRK1	3.5 	2.8 bd
A,HTC,PC_EMP,T,FRK2	4.7 	5.3 bd
A,HTC,PC_EMP,T,FRL0	3.7 	4.3 bd
A,HTC,PC_EMP,T,FRM0	1.9 u	: bu
A,HTC,PC_EMP,T,FRY1	: u	2.1 bdu
A,HTC,PC_EMP,T,FRY2	: u	: bu
A,HTC,PC_EMP,T,FRY3	: u	: bu
A,HTC,PC_EMP,T,FRY4	1.9 	1.4 bdu
A,HTC,PC_EMP,T,FRY5	: u	: 
A,HTC,PC_EMP,T,HR02	1.8 u	2.4 bu
A,HTC,PC_EMP,T,HR03	1.7 u	1.5 bu
A,HTC,PC_EMP,T,HR05	8.9 	8.0 b
A,HTC,PC_EMP,T,HR06	2.8 	3.3 b
A,HTC,PC_EMP,T,HU11	8.4 	13.7 b
A,HTC,PC_EMP,T,HU12	6.6 	8.3 b
A,HTC,PC_EMP,T,HU21	3.8 	5.1 b
A,HTC,PC_EMP,T,HU22	3.8 	4.0 b
A,HTC,PC_EMP,T,HU23	2.9 	3.0 b
A,HTC,PC_EMP,T,HU31	5.2 	4.9 b
A,HTC,PC_EMP,T,HU32	3.3 	4.2 b
A,HTC,PC_EMP,T,HU33	1.7 	2.5 b
A,HTC,PC_EMP,T,IE04	5.1 b	5.8 b
A,HTC,PC_EMP,T,IE05	7.8 b	9.9 b
A,HTC,PC_EMP,T,IE06	9.9 b	11.9 b
A,HTC,PC_EMP,T,IS00	5.4 	5.0 b
A,HTC,PC_EMP,T,ITC1	3.2 	3.9 b
A,HTC,PC_EMP,T,ITC2	: u	: bu
