freq,age,unit,sex,geo\TIME_PERIOD	2017 	2021 
A,Y15-24,PC,T,ES61	49.0 	44.2 bd
A,Y15-24,PC,T,ES62	39.5 	31.6 bd
A,Y15-24,PC,T,ES63	54.4 u	67.2 bdu
A,Y15-24,PC,T,ES64	62.7 u	57.7 bdu
A,Y15-24,PC,T,ES70	45.3 	57.0 bd
A,Y15-24,PC,T,FI19	21.7 	18.6 b
A,Y15-24,PC,T,FI1B	18.5 	15.3 b
A,Y15-24,PC,T,FI1C	19.9 	18.0 b
A,Y15-24,PC,T,FI1D	20.9 	17.5 b
A,Y15-24,PC,T,FI20	: u	: bu
A,Y15-24,PC,T,FR10	21.9 	20.4 bd
A,Y15-24,PC,T,FRB0	23.1 	18.6 bd
A,Y15-24,PC,T,FRC1	23.8 	14.6 bd
A,Y15-24,PC,T,FRC2	21.9 u	16.0 bdu
A,Y15-24,PC,T,FRD1	20.4 	12.8 bdu
A,Y15-24,PC,T,FRD2	23.7 	19.3 bd
A,Y15-24,PC,T,FRE1	28.2 	22.7 bd
A,Y15-24,PC,T,FRE2	25.3 	21.8 bd
A,Y15-24,PC,T,FRF1	22.4 	17.3 bd
A,Y15-24,PC,T,FRF2	25.2 	17.4 bd
A,Y15-24,PC,T,FRF3	22.1 	20.9 bd
A,Y15-24,PC,T,FRG0	17.8 	15.9 bd
A,Y15-24,PC,T,FRH0	17.9 	13.1 bd
A,Y15-24,PC,T,FRI1	27.5 	15.7 bd
A,Y15-24,PC,T,FRI2	16.1 u	: bu
A,Y15-24,PC,T,FRI3	23.3 	24.9 bd
A,Y15-24,PC,T,FRJ1	26.6 	27.6 bd
A,Y15-24,PC,T,FRJ2	15.0 	15.7 bd
A,Y15-24,PC,T,FRK1	12.4 u	19.3 bd
A,Y15-24,PC,T,FRK2	16.3 	16.3 bd
A,Y15-24,PC,T,FRL0	22.9 	18.9 bd
A,Y15-24,PC,T,FRM0	19.0 u	: bu
A,Y15-24,PC,T,FRY1	53.1 	43.3 bdu
A,Y15-24,PC,T,FRY2	50.6 u	38.5 bdu
A,Y15-24,PC,T,FRY3	42.8 u	: bu
A,Y15-24,PC,T,FRY4	47.4 	38.4 bd
A,Y15-24,PC,T,FRY5	57.3 u	: 
A,Y15-24,PC,T,HR02	33.8 	26.7 b
A,Y15-24,PC,T,HR03	29.4 	23.0 bu
A,Y15-24,PC,T,HR05	18.5 u	20.6 bu
A,Y15-24,PC,T,HR06	20.9 u	13.5 bu
A,Y15-24,PC,T,HU11	8.4 u	10.1 bu
A,Y15-24,PC,T,HU12	: u	10.5 bu
A,Y15-24,PC,T,HU21	: u	8.6 bu
A,Y15-24,PC,T,HU22	8.5 u	: bu
A,Y15-24,PC,T,HU23	15.1 u	16.4 bu
A,Y15-24,PC,T,HU31	13.2 	15.2 b
A,Y15-24,PC,T,HU32	17.0 	21.5 b
A,Y15-24,PC,T,HU33	10.3 u	13.9 b
A,Y15-24,PC,T,IE04	12.5 b	12.8 bu
