freq,unit,direct,na_item,geo\TIME_PERIOD	2021 
A,MIO_EUR,RECV,D62,FI1B	14418.8 
A,MIO_EUR,RECV,D62,FI1C	10498.2 
A,MIO_EUR,RECV,D62,FI1D	11128.88 
A,MIO_EUR,RECV,D62,FI20	242.83 
A,MIO_EUR,RECV,D62,FR10	97287.5 p
A,MIO_EUR,RECV,D62,FRB0	22763.6 p
A,MIO_EUR,RECV,D62,FRC1	14688.5 p
A,MIO_EUR,RECV,D62,FRC2	10372.4 p
A,MIO_EUR,RECV,D62,FRD1	13470.1 p
A,MIO_EUR,RECV,D62,FRD2	15680.2 p
A,MIO_EUR,RECV,D62,FRE1	32432.4 p
A,MIO_EUR,RECV,D62,FRE2	15784.6 p
A,MIO_EUR,RECV,D62,FRF1	15207.1 p
A,MIO_EUR,RECV,D62,FRF2	11292.8 p
A,MIO_EUR,RECV,D62,FRF3	19333.4 p
A,MIO_EUR,RECV,D62,FRG0	32399.4 p
A,MIO_EUR,RECV,D62,FRH0	29135.1 p
A,MIO_EUR,RECV,D62,FRI1	30306.3 p
A,MIO_EUR,RECV,D62,FRI2	7257.4 p
A,MIO_EUR,RECV,D62,FRI3	17672.4 p
A,MIO_EUR,RECV,D62,FRJ1	25534.3 p
A,MIO_EUR,RECV,D62,FRJ2	26043.5 p
A,MIO_EUR,RECV,D62,FRK1	13100.2 p
A,MIO_EUR,RECV,D62,FRK2	52871.7 p
A,MIO_EUR,RECV,D62,FRL0	45790 p
A,MIO_EUR,RECV,D62,FRM0	2612.7 p
A,MIO_EUR,RECV,D62,FRY1	2103.9 p
A,MIO_EUR,RECV,D62,FRY2	1799.1 p
A,MIO_EUR,RECV,D62,FRY3	849.7 p
A,MIO_EUR,RECV,D62,FRY4	4297.6 p
A,MIO_EUR,RECV,D62,FRY5	223.9 p
A,MIO_EUR,RECV,D62,HR02	2255.34 
A,MIO_EUR,RECV,D62,HR03	2862.07 
A,MIO_EUR,RECV,D62,HR05	1753.94 
A,MIO_EUR,RECV,D62,HR06	1416.03 
A,MIO_EUR,RECV,D62,HU11	3814.26 
A,MIO_EUR,RECV,D62,HU12	2088.87 
A,MIO_EUR,RECV,D62,HU21	1957.15 
A,MIO_EUR,RECV,D62,HU22	1706.34 
A,MIO_EUR,RECV,D62,HU23	1571.37 
A,MIO_EUR,RECV,D62,HU31	1938.47 
A,MIO_EUR,RECV,D62,HU32	2272.45 
A,MIO_EUR,RECV,D62,HU33	2094.67 
A,MIO_EUR,RECV,D62,HUZZ	0 
A,MIO_EUR,RECV,D62,IE04	6525.21 
A,MIO_EUR,RECV,D62,IE05	12365.68 
A,MIO_EUR,RECV,D62,IE06	16435.25 
A,MIO_EUR,RECV,D62,ITC1	34833.7 
A,MIO_EUR,RECV,D62,ITC2	1039.2 
A,MIO_EUR,RECV,D62,ITC3	12866.5 
A,MIO_EUR,RECV,D62,ITC4	77446 
A,MIO_EUR,RECV,D62,ITF1	8876.4 
A,MIO_EUR,RECV,D62,ITF2	1980.4 
A,MIO_EUR,RECV,D62,ITF3	33215.5 
A,MIO_EUR,RECV,D62,ITF4	25528.9 
A,MIO_EUR,RECV,D62,ITF5	3577 
A,MIO_EUR,RECV,D62,ITF6	12239.4 
A,MIO_EUR,RECV,D62,ITG1	30935.7 
A,MIO_EUR,RECV,D62,ITG2	11308.3 
A,MIO_EUR,RECV,D62,ITH1	4236.5 
A,MIO_EUR,RECV,D62,ITH2	4335.2 
A,MIO_EUR,RECV,D62,ITH3	35506 
A,MIO_EUR,RECV,D62,ITH4	10149.3 
A,MIO_EUR,RECV,D62,ITH5	35350.1 
A,MIO_EUR,RECV,D62,ITI1	28175.3 
A,MIO_EUR,RECV,D62,ITI2	6783.4 
A,MIO_EUR,RECV,D62,ITI3	11255.6 
A,MIO_EUR,RECV,D62,ITI4	43613.1 
A,MIO_EUR,RECV,D62,ITZZ	0 
A,MIO_EUR,RECV,D62,LT01	2030.08 
A,MIO_EUR,RECV,D62,LT02	5676.13 
A,MIO_EUR,RECV,D62,LU00	8276.3 
A,MIO_EUR,RECV,D62,LV00	4276.81 
A,MIO_EUR,RECV,D62,NL11	5028 p
A,MIO_EUR,RECV,D62,NL12	5570 p
A,MIO_EUR,RECV,D62,NL13	4581 p
A,MIO_EUR,RECV,D62,NL21	9521 p
A,MIO_EUR,RECV,D62,NL22	17781 p
A,MIO_EUR,RECV,D62,NL23	3181 p
A,MIO_EUR,RECV,D62,NL31	11006 p
A,MIO_EUR,RECV,D62,NL32	24473 p
A,MIO_EUR,RECV,D62,NL33	30808 p
A,MIO_EUR,RECV,D62,NL34	3439 p
A,MIO_EUR,RECV,D62,NL41	21752 p
A,MIO_EUR,RECV,D62,NL42	10615 p
A,MIO_EUR,RECV,D62,PL21	8121.66 
A,MIO_EUR,RECV,D62,PL22	13478.71 
A,MIO_EUR,RECV,D62,PL41	8439.94 
A,MIO_EUR,RECV,D62,PL42	4057.43 
A,MIO_EUR,RECV,D62,PL43	2327.83 
A,MIO_EUR,RECV,D62,PL51	7216.55 
A,MIO_EUR,RECV,D62,PL52	2392.45 
A,MIO_EUR,RECV,D62,PL61	4870.98 
A,MIO_EUR,RECV,D62,PL62	3163.94 
A,MIO_EUR,RECV,D62,PL63	5607.42 
A,MIO_EUR,RECV,D62,PL71	6123.5 
A,MIO_EUR,RECV,D62,PL72	2820.25 
A,MIO_EUR,RECV,D62,PL81	4756.42 
A,MIO_EUR,RECV,D62,PL82	4603.74 
A,MIO_EUR,RECV,D62,PL84	2476.12 
A,MIO_EUR,RECV,D62,PL91	9116.14 
A,MIO_EUR,RECV,D62,PL92	5124.2 
A,MIO_EUR,RECV,D62,PT11	13302.82 
A,MIO_EUR,RECV,D62,PT15	2405.22 
A,MIO_EUR,RECV,D62,PT16	8946.99 
A,MIO_EUR,RECV,D62,PT17	15604.43 
A,MIO_EUR,RECV,D62,PT18	2975.09 
A,MIO_EUR,RECV,D62,PT20	908.59 
A,MIO_EUR,RECV,D62,PT30	971.77 
A,MIO_EUR,RECV,D62,RO11	3910.41 
A,MIO_EUR,RECV,D62,RO12	3507.12 
A,MIO_EUR,RECV,D62,RO21	5322.2 
A,MIO_EUR,RECV,D62,RO22	3333.23 
A,MIO_EUR,RECV,D62,RO31	4269.31 
A,MIO_EUR,RECV,D62,RO32	3927.79 
A,MIO_EUR,RECV,D62,RO41	3025.11 
A,MIO_EUR,RECV,D62,RO42	2937.15 
A,MIO_EUR,RECV,D62,SE11	17606.17 
A,MIO_EUR,RECV,D62,SE12	13915.44 
A,MIO_EUR,RECV,D62,SE21	6933.62 
A,MIO_EUR,RECV,D62,SE22	12142.61 
A,MIO_EUR,RECV,D62,SE23	16271.03 
A,MIO_EUR,RECV,D62,SE31	7542.5 
A,MIO_EUR,RECV,D62,SE32	3238.16 
A,MIO_EUR,RECV,D62,SE33	4454.64 
A,MIO_EUR,RECV,D62,SI03	4696.51 
A,MIO_EUR,RECV,D62,SI04	4267.02 
A,MIO_EUR,RECV,D62,SK01	2134.4 
A,MIO_EUR,RECV,D62,SK02	4784.54 
A,MIO_EUR,RECV,D62,SK03	3765.91 
A,MIO_EUR,RECV,D62,SK04	4748.38 
